check_group,item,path,expected_type,exists,status
project_root,PROJECT_ROOT,.,directory,True,OK
top_level_folder,data,data,directory,True,OK
top_level_folder,docs,./docs,directory,True,OK
top_level_folder,approaches,./approaches,directory,True,OK
top_level_folder,figures,./figures,directory,True,OK
top_level_folder,requirements,./requirements,directory,True,OK
repository_file,README.md,./README.md,file,True,OK
repository_file,.gitignore,./.gitignore,file,True,OK
approach_root,traditional_ml,./approaches/traditional_ml,directory,True,OK
approach_folder,notebooks,./approaches/traditional_ml/notebooks,directory,True,OK
approach_folder,inputs,./approaches/traditional_ml/inputs,directory,True,OK
approach_folder,outputs,./approaches/traditional_ml/outputs,directory,True,OK
setup_stage_path,notebooks/00_project_setup,./approaches/traditional_ml/notebooks/00_project_setup,directory,True,OK
setup_stage_path,inputs/00_project_setup/00_project_setup,./approaches/traditional_ml/inputs/00_project_setup/00_project_setup,directory,True,OK
setup_stage_path,outputs/00_project_setup/00_project_setup,./approaches/traditional_ml/outputs/00_project_setup/00_project_setup,directory,True,OK
setup_stage_path,outputs/00_project_setup/00_project_setup/tables,./approaches/traditional_ml/outputs/00_project_setup/00_project_setup/tables,directory,True,OK
setup_stage_path,outputs/00_project_setup/00_project_setup/figures,./approaches/traditional_ml/outputs/00_project_setup/00_project_setup/figures,directory,True,OK
