split,stem,label_path,line_number,raw_line,fields_count,class_id,class_name,x_center,y_center,bbox_width_norm,bbox_height_norm,bbox_area_norm,x1_norm,y1_norm,x2_norm,y2_norm,parse_error,has_five_fields,is_numeric,class_id_is_integer,class_id_known,coords_in_0_1,positive_width,positive_height,bbox_edges_in_0_1,valid_yolo_row,image_path,image_width,image_height,is_readable,bbox_width_px,bbox_height_px,bbox_area_px,extreme_small_by_bbox_width_norm,extreme_large_by_bbox_width_norm,extreme_small_by_bbox_height_norm,extreme_large_by_bbox_height_norm,extreme_small_by_bbox_area_norm,extreme_large_by_bbox_area_norm,extreme_small_by_bbox_width_px,extreme_large_by_bbox_width_px,extreme_small_by_bbox_height_px,extreme_large_by_bbox_height_px,extreme_small_by_bbox_area_px,extreme_large_by_bbox_area_px,dataset_specific_extreme_small_candidate,dataset_specific_extreme_large_candidate,dataset_specific_varroa_bbox_exclusion_candidate
train,2017-08-30_15-42-59-mp4-bee_id_10208-61350-1_png.rf.d51739315e3afbff4ff42b4440638c1d,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10208-61350-1_png.rf.d51739315e3afbff4ff42b4440638c1d.txt,2,1 0.47890625 0.496875 0.27578125 0.11015625,5,1,varroa,0.47890625,0.496875,0.27578125,0.11015625,0.030379028320312498,0.341015625,0.44179687500000003,0.6167968749999999,0.551953125,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10208-61350-1_png.rf.d51739315e3afbff4ff42b4440638c1d.jpg,640,640,True,176.5,70.5,12443.25,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
train,2017-08-30_15-42-59-mp4-bee_id_10329-66015-1_png.rf.5ed88f8c5737b624d666bc977b4096b0,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10329-66015-1_png.rf.5ed88f8c5737b624d666bc977b4096b0.txt,2,1 0.3609375 0.62578125 0.2734375 0.13828125,5,1,varroa,0.3609375,0.62578125,0.2734375,0.13828125,0.037811279296875,0.22421875000000002,0.556640625,0.49765625,0.6949218749999999,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10329-66015-1_png.rf.5ed88f8c5737b624d666bc977b4096b0.jpg,640,640,True,175.0,88.5,15487.5,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
train,2017-08-30_15-42-59-mp4-bee_id_10334-66195-1_png.rf.ed8372bede5570ec0e6992f13927d30e,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10334-66195-1_png.rf.ed8372bede5570ec0e6992f13927d30e.txt,2,1 0.303125 0.63359375 0.25234375 0.14296875,5,1,varroa,0.303125,0.63359375,0.25234375,0.14296875,0.036077270507812495,0.176953125,0.5621093749999999,0.42929687499999997,0.705078125,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10334-66195-1_png.rf.ed8372bede5570ec0e6992f13927d30e.jpg,640,640,True,161.5,91.5,14777.25,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
train,2017-08-30_15-42-59-mp4-bee_id_10355-69990-1_png.rf.24ffcc736b2898f103df2b103498017b,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10355-69990-1_png.rf.24ffcc736b2898f103df2b103498017b.txt,2,1 0.20703125 0.6328125 0.22109375 0.15625,5,1,varroa,0.20703125,0.6328125,0.22109375,0.15625,0.0345458984375,0.096484375,0.5546875,0.317578125,0.7109375,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10355-69990-1_png.rf.24ffcc736b2898f103df2b103498017b.jpg,640,640,True,141.5,100.0,14150.0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
train,2017-08-30_15-42-59-mp4-bee_id_10963-100605-1_png.rf.1977d89ddb0b9fd52bd04e04daef6f1e,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10963-100605-1_png.rf.1977d89ddb0b9fd52bd04e04daef6f1e.txt,2,1 0.7109375 0.41328125 0.24453125 0.1265625,5,1,varroa,0.7109375,0.41328125,0.24453125,0.1265625,0.030948486328125,0.588671875,0.35,0.833203125,0.4765625,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10963-100605-1_png.rf.1977d89ddb0b9fd52bd04e04daef6f1e.jpg,640,640,True,156.5,81.0,12676.5,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
train,2017-08-30_15-42-59-mp4-bee_id_11006-102135-1_png.rf.4a58458214955e3938eca5b3d60c72f1,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_11006-102135-1_png.rf.4a58458214955e3938eca5b3d60c72f1.txt,2,1 0.4046875 0.3875 0.2578125 0.14140625,5,1,varroa,0.4046875,0.3875,0.2578125,0.14140625,0.036456298828125004,0.27578125,0.316796875,0.53359375,0.45820312500000004,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_11006-102135-1_png.rf.4a58458214955e3938eca5b3d60c72f1.jpg,640,640,True,165.0,90.5,14932.5,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
train,2017-08-30_15-42-59-mp4-bee_id_9281-6990-1_png.rf.6f368deafa9fb580aee37ada049ef1e9,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_9281-6990-1_png.rf.6f368deafa9fb580aee37ada049ef1e9.txt,2,1 0.4140625 0.58125 0.21328125 0.14140625,5,1,varroa,0.4140625,0.58125,0.21328125,0.14140625,0.030159301757812503,0.307421875,0.5105468750000001,0.520703125,0.651953125,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_9281-6990-1_png.rf.6f368deafa9fb580aee37ada049ef1e9.jpg,640,640,True,136.5,90.5,12353.25,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
train,2017-08-30_15-42-59-mp4-bee_id_9481-26475-1_png.rf.6b40b047ddf666e928fb71ec54c3b48b,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_9481-26475-1_png.rf.6b40b047ddf666e928fb71ec54c3b48b.txt,2,1 0.72109375 0.58828125 0.1875 0.16484375,5,1,varroa,0.72109375,0.58828125,0.1875,0.16484375,0.030908203125000002,0.62734375,0.505859375,0.81484375,0.670703125,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_9481-26475-1_png.rf.6b40b047ddf666e928fb71ec54c3b48b.jpg,640,640,True,120.0,105.5,12660.0,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True
train,2017-09-20_19-24-55-mp4-bee_id_2980-4695-1_png.rf.c867592211c899c92e2d6b3fd971ec17,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_2980-4695-1_png.rf.c867592211c899c92e2d6b3fd971ec17.txt,2,1 0.38828125 0.6078125 0.23984375 0.1265625,5,1,varroa,0.38828125,0.6078125,0.23984375,0.1265625,0.030355224609375,0.268359375,0.54453125,0.508203125,0.6710937499999999,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_2980-4695-1_png.rf.c867592211c899c92e2d6b3fd971ec17.jpg,640,640,True,153.5,81.0,12433.5,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
train,2017-09-20_19-24-55-mp4-bee_id_3194-10995-1_png.rf.e9fcb2bad3e8a79845f00c46fed25504,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_3194-10995-1_png.rf.e9fcb2bad3e8a79845f00c46fed25504.txt,1,1 0.5 0.4796875 1 0.85703125,5,1,varroa,0.5,0.4796875,1.0,0.85703125,0.85703125,0.0,0.05117187499999998,1.0,0.908203125,,True,True,True,True,True,True,True,True,True,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_3194-10995-1_png.rf.e9fcb2bad3e8a79845f00c46fed25504.jpg,640,640,True,640.0,548.5,351040.0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True
