split,stem,image_path,object_count,varroa_count,has_any_object,has_varroa,has_zero_varroa,is_empty_label_file,has_invalid_yolo_row
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6695-15-1_png.rf.4bec10828dc7eb54bca67cbaaed6d0d9,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6695-15-1_png.rf.4bec10828dc7eb54bca67cbaaed6d0d9.jpg,1,0,True,False,True,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6696-15-1_png.rf.fad7b4966cd1e2e72dc91f5cf756a9df,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6696-15-1_png.rf.fad7b4966cd1e2e72dc91f5cf756a9df.jpg,2,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6697-30-1_png.rf.c5be390876e36d9d9732284fcac8bfd7,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6697-30-1_png.rf.c5be390876e36d9d9732284fcac8bfd7.jpg,1,0,True,False,True,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png.rf.69f27b4ce248b15e3ac608fcd2c97a71,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png.rf.69f27b4ce248b15e3ac608fcd2c97a71.jpg,2,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6699-180-1_png.rf.65a17c80dadb96ed9b2c8e408b5c0e89,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6699-180-1_png.rf.65a17c80dadb96ed9b2c8e408b5c0e89.jpg,1,0,True,False,True,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png.rf.021dbfdd31366bffa2768a45fc0068a5,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png.rf.021dbfdd31366bffa2768a45fc0068a5.jpg,2,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png.rf.a12534578b485e346efd15b4a18d59f1,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png.rf.a12534578b485e346efd15b4a18d59f1.jpg,2,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6702-450-1_png.rf.51ab51003b71ca7f6436cfea6975296a,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6702-450-1_png.rf.51ab51003b71ca7f6436cfea6975296a.jpg,1,0,True,False,True,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png.rf.8ba2f149011a0171cb11bf90960d4677,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png.rf.8ba2f149011a0171cb11bf90960d4677.jpg,2,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6704-735-1_png.rf.d1b74223933ee7e4d5f93d5cfbf23d1f,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6704-735-1_png.rf.d1b74223933ee7e4d5f93d5cfbf23d1f.jpg,1,0,True,False,True,False,False
