split,stem,image_path,image_suffix,image_size_bytes,image_width,image_height,image_mode,is_readable
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6697-30-1_png.rf.08db7094d1cefe766f46c2f8151787a4,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6697-30-1_png.rf.08db7094d1cefe766f46c2f8151787a4.jpg,.jpg,42181,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6702-450-1_png.rf.0989d312fadd8e721d7014bc76e573bf,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6702-450-1_png.rf.0989d312fadd8e721d7014bc76e573bf.jpg,.jpg,40484,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6704-735-1_png.rf.bb8a595b1efed0899ddec389d319061d,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6704-735-1_png.rf.bb8a595b1efed0899ddec389d319061d.jpg,.jpg,40856,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6705-915-1_png.rf.c71eb77a6b847326295ed0746fd5230b,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6705-915-1_png.rf.c71eb77a6b847326295ed0746fd5230b.jpg,.jpg,45017,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6708-1170-1_png.rf.bf2b291bf9cde7ab0f7758e5a298a272,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6708-1170-1_png.rf.bf2b291bf9cde7ab0f7758e5a298a272.jpg,.jpg,40331,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6710-1365-1_png.rf.7d175181aaa2179570ea40315b69a090,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6710-1365-1_png.rf.7d175181aaa2179570ea40315b69a090.jpg,.jpg,44245,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6711-1380-1_png.rf.839d4e431004dd2f31e6ee58cef81340,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6711-1380-1_png.rf.839d4e431004dd2f31e6ee58cef81340.jpg,.jpg,37339,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6715-1725-1_png.rf.5f637a0210073bed33312e86d2645836,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6715-1725-1_png.rf.5f637a0210073bed33312e86d2645836.jpg,.jpg,39158,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6725-4290-1_png.rf.11048da7e80b78b67e3ed6f5b142a3a4,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6725-4290-1_png.rf.11048da7e80b78b67e3ed6f5b142a3a4.jpg,.jpg,38579,640,640,RGB,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6726-4305-1_png.rf.bde29306b43a4ea44c6a25af9d59a33d,data/raw/dataset3_external/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6726-4305-1_png.rf.bde29306b43a4ea44c6a25af9d59a33d.jpg,.jpg,37679,640,640,RGB,True
