split,stem,label_path,line_number,raw_line,fields_count,class_id,class_name,x_center,y_center,bbox_width_norm,bbox_height_norm,bbox_area_norm,x1_norm,y1_norm,x2_norm,y2_norm,parse_error,has_five_fields,is_numeric,class_id_is_integer,class_id_known,coords_in_0_1,positive_width,positive_height,bbox_edges_in_0_1,valid_yolo_row
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6710-1365-1_png.rf.7d175181aaa2179570ea40315b69a090,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6710-1365-1_png.rf.7d175181aaa2179570ea40315b69a090.txt,1,0 0.6234375 0.46796875 0.121875 0.07109375,5,0,varroa-mite,0.6234375,0.46796875,0.121875,0.07109375,0.008664550781249999,0.5625,0.432421875,0.684375,0.503515625,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6711-1380-1_png.rf.839d4e431004dd2f31e6ee58cef81340,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6711-1380-1_png.rf.839d4e431004dd2f31e6ee58cef81340.txt,1,0 0.609375 0.43984375 0.11171875 0.06953125,5,0,varroa-mite,0.609375,0.43984375,0.11171875,0.06953125,0.007767944335937501,0.553515625,0.40507812499999996,0.665234375,0.474609375,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6730-7005-1_png.rf.6a6eadb284e46f29ce946e6d8a19c709,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6730-7005-1_png.rf.6a6eadb284e46f29ce946e6d8a19c709.txt,1,0 0.2953125 0.43125 0.1390625 0.06953125,5,0,varroa-mite,0.2953125,0.43125,0.1390625,0.06953125,0.009669189453125001,0.22578125,0.396484375,0.36484374999999997,0.46601562500000004,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6731-7050-1_png.rf.96169b7e5fc1797d68dd6ef8ffdb6194,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6731-7050-1_png.rf.96169b7e5fc1797d68dd6ef8ffdb6194.txt,1,0 0.5328125 0.53671875 0.121875 0.07734375,5,0,varroa-mite,0.5328125,0.53671875,0.121875,0.07734375,0.00942626953125,0.47187500000000004,0.498046875,0.59375,0.575390625,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6747-11145-1_png.rf.d6bafe079f432e7809d97b3d298e4111,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6747-11145-1_png.rf.d6bafe079f432e7809d97b3d298e4111.txt,1,0 0.403125 0.521875 0.11640625 0.090625,5,0,varroa-mite,0.403125,0.521875,0.11640625,0.090625,0.01054931640625,0.344921875,0.4765625,0.46132812500000003,0.5671875,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6762-12000-1_png.rf.4e065dc437fd89e3a9036739214859b4,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6762-12000-1_png.rf.4e065dc437fd89e3a9036739214859b4.txt,1,0 0.6828125 0.56953125 0.07265625 0.0671875,5,0,varroa-mite,0.6828125,0.56953125,0.07265625,0.0671875,0.004881591796875,0.646484375,0.5359375000000001,0.7191406250000001,0.603125,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6764-12450-1_png.rf.d9ddb3377ae222154519866179dc3f44,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6764-12450-1_png.rf.d9ddb3377ae222154519866179dc3f44.txt,1,0 0.659375 0.4 0.090625 0.04921875,5,0,varroa-mite,0.659375,0.4,0.090625,0.04921875,0.00446044921875,0.6140625000000001,0.37539062500000003,0.7046875,0.424609375,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6768-12495-1_png.rf.94a8ac300d7d357456a44b97692d5cd6,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6768-12495-1_png.rf.94a8ac300d7d357456a44b97692d5cd6.txt,1,0 0.5609375 0.43984375 0.1078125 0.065625,5,0,varroa-mite,0.5609375,0.43984375,0.1078125,0.065625,0.007075195312500001,0.5070312499999999,0.40703124999999996,0.61484375,0.47265625,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6775-12645-1_png.rf.79f35f43641eef429d91d6523cf7bd54,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6775-12645-1_png.rf.79f35f43641eef429d91d6523cf7bd54.txt,1,0 0.3265625 0.5328125 0.13203125 0.0734375,5,0,varroa-mite,0.3265625,0.5328125,0.13203125,0.0734375,0.009696044921874999,0.26054687499999996,0.49609375,0.392578125,0.56953125,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6777-12915-1_png.rf.fb6b3f7d41070b1806b3c168e5f83b2f,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6777-12915-1_png.rf.fb6b3f7d41070b1806b3c168e5f83b2f.txt,1,0 0.328125 0.521875 0.1328125 0.07734375,5,0,varroa-mite,0.328125,0.521875,0.1328125,0.07734375,0.010272216796875,0.26171875,0.48320312499999996,0.39453125,0.560546875,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6785-13665-1_png.rf.266b75643d90a4c1dea4bcc5b15e8f76,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6785-13665-1_png.rf.266b75643d90a4c1dea4bcc5b15e8f76.txt,1,0 0.4359375 0.52578125 0.09375 0.05546875,5,0,varroa-mite,0.4359375,0.52578125,0.09375,0.05546875,0.005200195312499999,0.3890625,0.498046875,0.4828125,0.553515625,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6786-13680-1_png.rf.ed8e9596fa49dccf556681a560b774f0,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6786-13680-1_png.rf.ed8e9596fa49dccf556681a560b774f0.txt,1,0 0.28828125 0.53984375 0.13203125 0.0953125,5,0,varroa-mite,0.28828125,0.53984375,0.13203125,0.0953125,0.012584228515624999,0.222265625,0.49218749999999994,0.35429687499999996,0.5874999999999999,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6791-13845-1_png.rf.3c4131a9742943e72e43bf332213f106,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6791-13845-1_png.rf.3c4131a9742943e72e43bf332213f106.txt,1,0 0.55078125 0.39375 0.1203125 0.071875,5,0,varroa-mite,0.55078125,0.39375,0.1203125,0.071875,0.008647460937499999,0.490625,0.3578125,0.6109375,0.4296875,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6792-13875-1_png.rf.1f84034cffdece6b8540f0088e487a9f,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6792-13875-1_png.rf.1f84034cffdece6b8540f0088e487a9f.txt,1,0 0.484375 0.5390625 0.128125 0.065625,5,0,varroa-mite,0.484375,0.5390625,0.128125,0.065625,0.008408203125,0.4203125,0.50625,0.5484375,0.571875,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6801-14265-1_png.rf.b2d4a2b48dddb783936912eebf0d131d,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6801-14265-1_png.rf.b2d4a2b48dddb783936912eebf0d131d.txt,1,0 0.3140625 0.57734375 0.121875 0.0671875,5,0,varroa-mite,0.3140625,0.57734375,0.121875,0.0671875,0.0081884765625,0.25312500000000004,0.5437500000000001,0.375,0.6109375,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6806-14445-1_png.rf.0f6d9bb4164e2fafa9bbd6bddccafcb8,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6806-14445-1_png.rf.0f6d9bb4164e2fafa9bbd6bddccafcb8.txt,1,0 0.69453125 0.58125 0.11796875 0.0671875,5,0,varroa-mite,0.69453125,0.58125,0.11796875,0.0671875,0.007926025390624999,0.6355468750000001,0.5476562500000001,0.753515625,0.61484375,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6819-14820-1_png.rf.1e8be7d9588834e9f4e1b70e3aa93274,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6819-14820-1_png.rf.1e8be7d9588834e9f4e1b70e3aa93274.txt,1,0 0.36953125 0.546875 0.1421875 0.065625,5,0,varroa-mite,0.36953125,0.546875,0.1421875,0.065625,0.0093310546875,0.29843749999999997,0.5140625,0.440625,0.5796875,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6820-14835-1_png.rf.a59c8bdc04a8dabcdd5b9b1c3bb2db2c,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6820-14835-1_png.rf.a59c8bdc04a8dabcdd5b9b1c3bb2db2c.txt,1,0 0.33671875 0.5171875 0.13203125 0.0734375,5,0,varroa-mite,0.33671875,0.5171875,0.13203125,0.0734375,0.009696044921874999,0.27070312500000004,0.48046875,0.402734375,0.55390625,,True,True,True,True,True,True,True,True,True
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6824-14940-1_png.rf.371141b7c3a57719ccd875f1ec6fda10,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6824-14940-1_png.rf.371141b7c3a57719ccd875f1ec6fda10.txt,1,0 0.60234375 0.634375 0.15078125 0.065625,5,0,varroa-mite,0.60234375,0.634375,0.15078125,0.065625,0.00989501953125,0.5269531249999999,0.6015625,0.677734375,0.6671875,,True,True,True,True,True,True,True,True,True
