dataset_name,split,patch_size,patch_type,source_image_path,figure_path
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_11105-105660-1_png.rf.d382fcbb1a145ece9af897a64cabfd6a.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_7225-38100-1_png.rf.6decab87429c7c6ef79dafd351d08a96.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_9155-2265-1_png.rf.83599f4ee78e502aebe42787db4586ba.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_6409-100530-1_png.rf.50c532fe0b331bf5b2d93d6c2f7d93f9.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4845-56760-1_png.rf.434ca7b8863a8e210f09ae9815dec66e.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_5285-68895-1_png.rf.ecb6c83c58b38e90def016d02779027a.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6825-15000-1_png.rf.db397a1d649f187809dacfb1eb18ab5c.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4690-52605-1_png.rf.a2ed44a284e7de232b78ac05c8bedf3e.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-09-25_16-03-38-mp4-bee_id_1129-38520-1_png.rf.3da423b0c5636d339ab2dfe7e5b3930a.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4104-35895-1_png.rf.bfd054ceb613ac6e274ae512f5584423.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
dataset1_varroa,train,80,positive,data/raw/dataset1_varroa/train/images/2017-09-25_16-03-38-mp4-bee_id_390-12690-1_png.rf.dd1d173ac1056221af069da185e0ffa9.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/01_dataset1_varroa_patch_preparation/figures/sanity_dataset1_train_80_positive.png
