dataset_name,patch_set,feature_set,is_pca,feature_column_count,total_column_count,file_size_mb
dataset1_varroa,centered112_balanced,hog16_hsv,False,1328,1356,74.4353
dataset1_varroa,centered112_balanced,hog16_hsv_lbp,False,1338,1366,74.6106
dataset1_varroa,centered112_balanced,hog16_only,False,1296,1324,73.7664
dataset1_varroa,centered112_balanced,hog16_pca_hsv,True,380,408,21.0907
dataset1_varroa,centered112_balanced,hog16_pca_hsv_lbp,True,390,418,21.266
dataset1_varroa,centered112_balanced,hog16_pca_only,True,348,376,20.4218
dataset1_varroa,centered112_balanced,hog8_hsv,False,6116,6144,324.4089
dataset1_varroa,centered112_balanced,hog8_hsv_lbp,False,6126,6154,324.5843
dataset1_varroa,centered112_balanced,hog8_only,False,6084,6112,323.74
dataset1_varroa,centered112_balanced,hog8_pca_hsv,True,1407,1435,79.393
dataset1_varroa,centered112_balanced,hog8_pca_hsv_lbp,True,1417,1445,79.5684
dataset1_varroa,centered112_balanced,hog8_pca_only,True,1375,1403,78.7241
dataset1_varroa,centered112_balanced,hsv_lbp_only,False,42,70,1.5085
dataset1_varroa,centered112_neg4x,hog16_hsv,False,1328,1356,188.0188
dataset1_varroa,centered112_neg4x,hog16_hsv_lbp,False,1338,1366,188.4164
dataset1_varroa,centered112_neg4x,hog16_only,False,1296,1324,186.5693
dataset1_varroa,centered112_neg4x,hog16_pca_hsv,True,391,419,54.7297
dataset1_varroa,centered112_neg4x,hog16_pca_hsv_lbp,True,401,429,55.1272
dataset1_varroa,centered112_neg4x,hog16_pca_only,True,359,387,53.2802
dataset1_varroa,centered112_neg4x,hog8_hsv,False,6116,6144,814.5223
dataset1_varroa,centered112_neg4x,hog8_hsv_lbp,False,6126,6154,814.9199
dataset1_varroa,centered112_neg4x,hog8_only,False,6084,6112,813.0728
dataset1_varroa,centered112_neg4x,hog8_pca_hsv,True,1526,1554,218.3633
dataset1_varroa,centered112_neg4x,hog8_pca_hsv_lbp,True,1536,1564,218.7609
dataset1_varroa,centered112_neg4x,hog8_pca_only,True,1494,1522,216.9138
dataset1_varroa,centered112_neg4x,hsv_lbp_only,False,42,70,3.3755
dataset1_varroa,centered80_balanced,hog16_hsv,False,608,636,33.6751
