dataset_name,patch_set,patch_size,feature_component,feature_dimension
dataset2_honeybee,centered48_balanced,48,hog8,900
dataset2_honeybee,centered48_balanced,48,hog16,144
dataset2_honeybee,centered48_balanced,48,hsv,32
dataset2_honeybee,centered48_balanced,48,lbp,10
dataset2_honeybee,centered48_neg4x,48,hog8,900
dataset2_honeybee,centered48_neg4x,48,hog16,144
dataset2_honeybee,centered48_neg4x,48,hsv,32
dataset2_honeybee,centered48_neg4x,48,lbp,10
dataset2_honeybee,centered64_balanced,64,hog8,1764
dataset2_honeybee,centered64_balanced,64,hog16,324
dataset2_honeybee,centered64_balanced,64,hsv,32
dataset2_honeybee,centered64_balanced,64,lbp,10
dataset2_honeybee,centered64_neg4x,64,hog8,1764
dataset2_honeybee,centered64_neg4x,64,hog16,324
dataset2_honeybee,centered64_neg4x,64,hsv,32
dataset2_honeybee,centered64_neg4x,64,lbp,10
dataset2_honeybee,centered80_balanced,80,hog8,2916
dataset2_honeybee,centered80_balanced,80,hog16,576
dataset2_honeybee,centered80_balanced,80,hsv,32
dataset2_honeybee,centered80_balanced,80,lbp,10
dataset2_honeybee,centered80_neg4x,80,hog8,2916
dataset2_honeybee,centered80_neg4x,80,hog16,576
dataset2_honeybee,centered80_neg4x,80,hsv,32
dataset2_honeybee,centered80_neg4x,80,lbp,10
