dataset_name,patch_set,feature_set,is_pca,feature_column_count,total_column_count,file_size_mb
dataset2_honeybee,centered48_balanced,hog16_hsv,False,176,204,18.7871
dataset2_honeybee,centered48_balanced,hog16_hsv_lbp,False,186,214,19.0164
dataset2_honeybee,centered48_balanced,hog16_only,False,144,172,17.9483
dataset2_honeybee,centered48_balanced,hog16_pca_hsv,True,92,120,9.0197
dataset2_honeybee,centered48_balanced,hog16_pca_hsv_lbp,True,102,130,9.249
dataset2_honeybee,centered48_balanced,hog16_pca_only,True,60,88,8.1809
dataset2_honeybee,centered48_balanced,hog8_hsv,False,932,960,103.9372
dataset2_honeybee,centered48_balanced,hog8_hsv_lbp,False,942,970,104.1666
dataset2_honeybee,centered48_balanced,hog8_only,False,900,928,103.0985
dataset2_honeybee,centered48_balanced,hog8_pca_hsv,True,304,332,33.7541
dataset2_honeybee,centered48_balanced,hog8_pca_hsv_lbp,True,314,342,33.9835
dataset2_honeybee,centered48_balanced,hog8_pca_only,True,272,300,32.9154
dataset2_honeybee,centered48_balanced,hsv_lbp_only,False,42,70,2.2496
dataset2_honeybee,centered48_neg4x,hog16_hsv,False,176,204,47.1208
dataset2_honeybee,centered48_neg4x,hog16_hsv_lbp,False,186,214,47.6735
dataset2_honeybee,centered48_neg4x,hog16_only,False,144,172,45.0949
dataset2_honeybee,centered48_neg4x,hog16_pca_hsv,True,93,121,22.7675
dataset2_honeybee,centered48_neg4x,hog16_pca_hsv_lbp,True,103,131,23.3202
dataset2_honeybee,centered48_neg4x,hog16_pca_only,True,61,89,20.7417
dataset2_honeybee,centered48_neg4x,hog8_hsv,False,932,960,262.0909
dataset2_honeybee,centered48_neg4x,hog8_hsv_lbp,False,942,970,262.6436
dataset2_honeybee,centered48_neg4x,hog8_only,False,900,928,260.0649
dataset2_honeybee,centered48_neg4x,hog8_pca_hsv,True,311,339,86.9694
dataset2_honeybee,centered48_neg4x,hog8_pca_hsv_lbp,True,321,349,87.5221
dataset2_honeybee,centered48_neg4x,hog8_pca_only,True,279,307,84.9436
dataset2_honeybee,centered48_neg4x,hsv_lbp_only,False,42,70,5.3633
dataset2_honeybee,centered64_balanced,hog16_hsv,False,356,384,39.8784
dataset2_honeybee,centered64_balanced,hog16_hsv_lbp,False,366,394,40.133
dataset2_honeybee,centered64_balanced,hog16_only,False,324,352,38.9034
dataset2_honeybee,centered64_balanced,hog16_pca_hsv,True,141,169,14.8697
dataset2_honeybee,centered64_balanced,hog16_pca_hsv_lbp,True,151,179,15.1243
dataset2_honeybee,centered64_balanced,hog16_pca_only,True,109,137,13.8947
dataset2_honeybee,centered64_balanced,hog8_hsv,False,1796,1824,201.9268
dataset2_honeybee,centered64_balanced,hog8_hsv_lbp,False,1806,1834,202.1814
dataset2_honeybee,centered64_balanced,hog8_only,False,1764,1792,200.9517
dataset2_honeybee,centered64_balanced,hog8_pca_hsv,True,517,545,58.7392
dataset2_honeybee,centered64_balanced,hog8_pca_hsv_lbp,True,527,555,58.9938
dataset2_honeybee,centered64_balanced,hog8_pca_only,True,485,513,57.7642
dataset2_honeybee,centered64_balanced,hsv_lbp_only,False,42,70,2.4086
dataset2_honeybee,centered64_neg4x,hog16_hsv,False,356,384,100.2706
dataset2_honeybee,centered64_neg4x,hog16_hsv_lbp,False,366,394,100.8726
