dataset_name,patch_set,patch_size,ratio_variant,feature_set,hog_variant,is_pca,include_hsv,include_lbp,feature_file_path,file_format,row_count,metadata_column_count,feature_column_count,total_column_count,train_row_count,valid_row_count,test_row_count,positive_count,negative_count,nan_count,inf_count,pca_fit_split,pca_explained_variance_target,pca_n_components_actual,pca_explained_variance_actual,pca_artifact_path,status,action,file_size_mb,created_at,notes
dataset2_honeybee,centered48_balanced,48,balanced,hog8_hsv_lbp,hog8,False,True,True,data/features/dataset2_honeybee/centered48_balanced__hog8_hsv_lbp.parquet,parquet,20706,28,942,970,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,104.1666,2026-05-25 03:34:29,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog8_hsv,hog8,False,True,False,data/features/dataset2_honeybee/centered48_balanced__hog8_hsv.parquet,parquet,20706,28,932,960,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,103.9372,2026-05-25 03:34:30,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog8_only,hog8,False,False,False,data/features/dataset2_honeybee/centered48_balanced__hog8_only.parquet,parquet,20706,28,900,928,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,103.0985,2026-05-25 03:34:31,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog16_hsv_lbp,hog16,False,True,True,data/features/dataset2_honeybee/centered48_balanced__hog16_hsv_lbp.parquet,parquet,20706,28,186,214,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,19.0164,2026-05-25 03:34:32,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog16_hsv,hog16,False,True,False,data/features/dataset2_honeybee/centered48_balanced__hog16_hsv.parquet,parquet,20706,28,176,204,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,18.7871,2026-05-25 03:34:32,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog16_only,hog16,False,False,False,data/features/dataset2_honeybee/centered48_balanced__hog16_only.parquet,parquet,20706,28,144,172,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,17.9483,2026-05-25 03:34:32,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hsv_lbp_only,,False,True,True,data/features/dataset2_honeybee/centered48_balanced__hsv_lbp_only.parquet,parquet,20706,28,42,70,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,2.2496,2026-05-25 03:34:32,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog8_pca_hsv_lbp,hog8,True,True,True,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_hsv_lbp.parquet,parquet,20706,28,314,342,18422,1140,1144,10353,10353,0,0,train,0.95,272.0,0.9504390954971313,data/features/dataset2_honeybee/pca_artifacts/centered48_balanced__hog8_pca.joblib,OK,created_or_overwritten,33.9835,2026-05-25 03:34:33,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog8_pca_hsv,hog8,True,True,False,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_hsv.parquet,parquet,20706,28,304,332,18422,1140,1144,10353,10353,0,0,train,0.95,272.0,0.9504390954971313,data/features/dataset2_honeybee/pca_artifacts/centered48_balanced__hog8_pca.joblib,OK,created_or_overwritten,33.7541,2026-05-25 03:34:33,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog8_pca_only,hog8,True,False,False,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_only.parquet,parquet,20706,28,272,300,18422,1140,1144,10353,10353,0,0,train,0.95,272.0,0.9504390954971313,data/features/dataset2_honeybee/pca_artifacts/centered48_balanced__hog8_pca.joblib,OK,created_or_overwritten,32.9154,2026-05-25 03:34:34,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog16_pca_hsv_lbp,hog16,True,True,True,data/features/dataset2_honeybee/centered48_balanced__hog16_pca_hsv_lbp.parquet,parquet,20706,28,102,130,18422,1140,1144,10353,10353,0,0,train,0.95,60.0,0.9503400921821594,data/features/dataset2_honeybee/pca_artifacts/centered48_balanced__hog16_pca.joblib,OK,created_or_overwritten,9.249,2026-05-25 03:34:34,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog16_pca_hsv,hog16,True,True,False,data/features/dataset2_honeybee/centered48_balanced__hog16_pca_hsv.parquet,parquet,20706,28,92,120,18422,1140,1144,10353,10353,0,0,train,0.95,60.0,0.9503400921821594,data/features/dataset2_honeybee/pca_artifacts/centered48_balanced__hog16_pca.joblib,OK,created_or_overwritten,9.0197,2026-05-25 03:34:34,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_balanced,48,balanced,hog16_pca_only,hog16,True,False,False,data/features/dataset2_honeybee/centered48_balanced__hog16_pca_only.parquet,parquet,20706,28,60,88,18422,1140,1144,10353,10353,0,0,train,0.95,60.0,0.9503400921821594,data/features/dataset2_honeybee/pca_artifacts/centered48_balanced__hog16_pca.joblib,OK,created_or_overwritten,8.1809,2026-05-25 03:34:34,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog8_hsv_lbp,hog8,False,True,True,data/features/dataset2_honeybee/centered48_neg4x__hog8_hsv_lbp.parquet,parquet,51765,28,942,970,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,262.6436,2026-05-25 03:35:56,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog8_hsv,hog8,False,True,False,data/features/dataset2_honeybee/centered48_neg4x__hog8_hsv.parquet,parquet,51765,28,932,960,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,262.0909,2026-05-25 03:35:59,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog8_only,hog8,False,False,False,data/features/dataset2_honeybee/centered48_neg4x__hog8_only.parquet,parquet,51765,28,900,928,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,260.0649,2026-05-25 03:36:02,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog16_hsv_lbp,hog16,False,True,True,data/features/dataset2_honeybee/centered48_neg4x__hog16_hsv_lbp.parquet,parquet,51765,28,186,214,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,47.6735,2026-05-25 03:36:03,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog16_hsv,hog16,False,True,False,data/features/dataset2_honeybee/centered48_neg4x__hog16_hsv.parquet,parquet,51765,28,176,204,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,47.1208,2026-05-25 03:36:04,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog16_only,hog16,False,False,False,data/features/dataset2_honeybee/centered48_neg4x__hog16_only.parquet,parquet,51765,28,144,172,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,45.0949,2026-05-25 03:36:04,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hsv_lbp_only,,False,True,True,data/features/dataset2_honeybee/centered48_neg4x__hsv_lbp_only.parquet,parquet,51765,28,42,70,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,5.3633,2026-05-25 03:36:04,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog8_pca_hsv_lbp,hog8,True,True,True,data/features/dataset2_honeybee/centered48_neg4x__hog8_pca_hsv_lbp.parquet,parquet,51765,28,321,349,46055,2850,2860,10353,41412,0,0,train,0.95,279.0,0.9502237439155579,data/features/dataset2_honeybee/pca_artifacts/centered48_neg4x__hog8_pca.joblib,OK,created_or_overwritten,87.5221,2026-05-25 03:36:06,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog8_pca_hsv,hog8,True,True,False,data/features/dataset2_honeybee/centered48_neg4x__hog8_pca_hsv.parquet,parquet,51765,28,311,339,46055,2850,2860,10353,41412,0,0,train,0.95,279.0,0.9502237439155579,data/features/dataset2_honeybee/pca_artifacts/centered48_neg4x__hog8_pca.joblib,OK,created_or_overwritten,86.9694,2026-05-25 03:36:07,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog8_pca_only,hog8,True,False,False,data/features/dataset2_honeybee/centered48_neg4x__hog8_pca_only.parquet,parquet,51765,28,279,307,46055,2850,2860,10353,41412,0,0,train,0.95,279.0,0.9502237439155579,data/features/dataset2_honeybee/pca_artifacts/centered48_neg4x__hog8_pca.joblib,OK,created_or_overwritten,84.9436,2026-05-25 03:36:08,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog16_pca_hsv_lbp,hog16,True,True,True,data/features/dataset2_honeybee/centered48_neg4x__hog16_pca_hsv_lbp.parquet,parquet,51765,28,103,131,46055,2850,2860,10353,41412,0,0,train,0.95,61.0,0.9504484534263611,data/features/dataset2_honeybee/pca_artifacts/centered48_neg4x__hog16_pca.joblib,OK,created_or_overwritten,23.3202,2026-05-25 03:36:08,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog16_pca_hsv,hog16,True,True,False,data/features/dataset2_honeybee/centered48_neg4x__hog16_pca_hsv.parquet,parquet,51765,28,93,121,46055,2850,2860,10353,41412,0,0,train,0.95,61.0,0.9504484534263611,data/features/dataset2_honeybee/pca_artifacts/centered48_neg4x__hog16_pca.joblib,OK,created_or_overwritten,22.7675,2026-05-25 03:36:08,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered48_neg4x,48,neg4x,hog16_pca_only,hog16,True,False,False,data/features/dataset2_honeybee/centered48_neg4x__hog16_pca_only.parquet,parquet,51765,28,61,89,46055,2850,2860,10353,41412,0,0,train,0.95,61.0,0.9504484534263611,data/features/dataset2_honeybee/pca_artifacts/centered48_neg4x__hog16_pca.joblib,OK,created_or_overwritten,20.7417,2026-05-25 03:36:09,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog8_hsv_lbp,hog8,False,True,True,data/features/dataset2_honeybee/centered64_balanced__hog8_hsv_lbp.parquet,parquet,20706,28,1806,1834,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,202.1814,2026-05-25 03:36:59,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog8_hsv,hog8,False,True,False,data/features/dataset2_honeybee/centered64_balanced__hog8_hsv.parquet,parquet,20706,28,1796,1824,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,201.9268,2026-05-25 03:37:02,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog8_only,hog8,False,False,False,data/features/dataset2_honeybee/centered64_balanced__hog8_only.parquet,parquet,20706,28,1764,1792,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,200.9517,2026-05-25 03:37:04,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog16_hsv_lbp,hog16,False,True,True,data/features/dataset2_honeybee/centered64_balanced__hog16_hsv_lbp.parquet,parquet,20706,28,366,394,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,40.133,2026-05-25 03:37:05,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog16_hsv,hog16,False,True,False,data/features/dataset2_honeybee/centered64_balanced__hog16_hsv.parquet,parquet,20706,28,356,384,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,39.8784,2026-05-25 03:37:05,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog16_only,hog16,False,False,False,data/features/dataset2_honeybee/centered64_balanced__hog16_only.parquet,parquet,20706,28,324,352,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,38.9034,2026-05-25 03:37:06,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hsv_lbp_only,,False,True,True,data/features/dataset2_honeybee/centered64_balanced__hsv_lbp_only.parquet,parquet,20706,28,42,70,18422,1140,1144,10353,10353,0,0,,,,,,OK,created_or_overwritten,2.4086,2026-05-25 03:37:06,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog8_pca_hsv_lbp,hog8,True,True,True,data/features/dataset2_honeybee/centered64_balanced__hog8_pca_hsv_lbp.parquet,parquet,20706,28,527,555,18422,1140,1144,10353,10353,0,0,train,0.95,485.0,0.9503005743026733,data/features/dataset2_honeybee/pca_artifacts/centered64_balanced__hog8_pca.joblib,OK,created_or_overwritten,58.9938,2026-05-25 03:37:06,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog8_pca_hsv,hog8,True,True,False,data/features/dataset2_honeybee/centered64_balanced__hog8_pca_hsv.parquet,parquet,20706,28,517,545,18422,1140,1144,10353,10353,0,0,train,0.95,485.0,0.9503005743026733,data/features/dataset2_honeybee/pca_artifacts/centered64_balanced__hog8_pca.joblib,OK,created_or_overwritten,58.7392,2026-05-25 03:37:07,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog8_pca_only,hog8,True,False,False,data/features/dataset2_honeybee/centered64_balanced__hog8_pca_only.parquet,parquet,20706,28,485,513,18422,1140,1144,10353,10353,0,0,train,0.95,485.0,0.9503005743026733,data/features/dataset2_honeybee/pca_artifacts/centered64_balanced__hog8_pca.joblib,OK,created_or_overwritten,57.7642,2026-05-25 03:37:08,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog16_pca_hsv_lbp,hog16,True,True,True,data/features/dataset2_honeybee/centered64_balanced__hog16_pca_hsv_lbp.parquet,parquet,20706,28,151,179,18422,1140,1144,10353,10353,0,0,train,0.95,109.0,0.9511193037033081,data/features/dataset2_honeybee/pca_artifacts/centered64_balanced__hog16_pca.joblib,OK,created_or_overwritten,15.1243,2026-05-25 03:37:08,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog16_pca_hsv,hog16,True,True,False,data/features/dataset2_honeybee/centered64_balanced__hog16_pca_hsv.parquet,parquet,20706,28,141,169,18422,1140,1144,10353,10353,0,0,train,0.95,109.0,0.9511193037033081,data/features/dataset2_honeybee/pca_artifacts/centered64_balanced__hog16_pca.joblib,OK,created_or_overwritten,14.8697,2026-05-25 03:37:08,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_balanced,64,balanced,hog16_pca_only,hog16,True,False,False,data/features/dataset2_honeybee/centered64_balanced__hog16_pca_only.parquet,parquet,20706,28,109,137,18422,1140,1144,10353,10353,0,0,train,0.95,109.0,0.9511193037033081,data/features/dataset2_honeybee/pca_artifacts/centered64_balanced__hog16_pca.joblib,OK,created_or_overwritten,13.8947,2026-05-25 03:37:08,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog8_hsv_lbp,hog8,False,True,True,data/features/dataset2_honeybee/centered64_neg4x__hog8_hsv_lbp.parquet,parquet,51765,28,1806,1834,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,510.2564,2026-05-25 03:39:14,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog8_hsv,hog8,False,True,False,data/features/dataset2_honeybee/centered64_neg4x__hog8_hsv.parquet,parquet,51765,28,1796,1824,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,509.6544,2026-05-25 03:39:21,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog8_only,hog8,False,False,False,data/features/dataset2_honeybee/centered64_neg4x__hog8_only.parquet,parquet,51765,28,1764,1792,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,507.3883,2026-05-25 03:39:27,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog16_hsv_lbp,hog16,False,True,True,data/features/dataset2_honeybee/centered64_neg4x__hog16_hsv_lbp.parquet,parquet,51765,28,366,394,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,100.8726,2026-05-25 03:39:28,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog16_hsv,hog16,False,True,False,data/features/dataset2_honeybee/centered64_neg4x__hog16_hsv.parquet,parquet,51765,28,356,384,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,100.2706,2026-05-25 03:39:30,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog16_only,hog16,False,False,False,data/features/dataset2_honeybee/centered64_neg4x__hog16_only.parquet,parquet,51765,28,324,352,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,98.0045,2026-05-25 03:39:31,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hsv_lbp_only,,False,True,True,data/features/dataset2_honeybee/centered64_neg4x__hsv_lbp_only.parquet,parquet,51765,28,42,70,46055,2850,2860,10353,41412,0,0,,,,,,OK,created_or_overwritten,5.6499,2026-05-25 03:39:31,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog8_pca_hsv_lbp,hog8,True,True,True,data/features/dataset2_honeybee/centered64_neg4x__hog8_pca_hsv_lbp.parquet,parquet,51765,28,540,568,46055,2850,2860,10353,41412,0,0,train,0.95,498.0,0.9502464532852173,data/features/dataset2_honeybee/pca_artifacts/centered64_neg4x__hog8_pca.joblib,OK,created_or_overwritten,152.3019,2026-05-25 03:39:33,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog8_pca_hsv,hog8,True,True,False,data/features/dataset2_honeybee/centered64_neg4x__hog8_pca_hsv.parquet,parquet,51765,28,530,558,46055,2850,2860,10353,41412,0,0,train,0.95,498.0,0.9502464532852173,data/features/dataset2_honeybee/pca_artifacts/centered64_neg4x__hog8_pca.joblib,OK,created_or_overwritten,151.6999,2026-05-25 03:39:35,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog8_pca_only,hog8,True,False,False,data/features/dataset2_honeybee/centered64_neg4x__hog8_pca_only.parquet,parquet,51765,28,498,526,46055,2850,2860,10353,41412,0,0,train,0.95,498.0,0.9502464532852173,data/features/dataset2_honeybee/pca_artifacts/centered64_neg4x__hog8_pca.joblib,OK,created_or_overwritten,149.4338,2026-05-25 03:39:36,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog16_pca_hsv_lbp,hog16,True,True,True,data/features/dataset2_honeybee/centered64_neg4x__hog16_pca_hsv_lbp.parquet,parquet,51765,28,152,180,46055,2850,2860,10353,41412,0,0,train,0.95,110.0,0.9500042200088501,data/features/dataset2_honeybee/pca_artifacts/centered64_neg4x__hog16_pca.joblib,OK,created_or_overwritten,38.0318,2026-05-25 03:39:37,HOG32 removed from Stage 03 feature grid.
dataset2_honeybee,centered64_neg4x,64,neg4x,hog16_pca_hsv,hog16,True,True,False,data/features/dataset2_honeybee/centered64_neg4x__hog16_pca_hsv.parquet,parquet,51765,28,142,170,46055,2850,2860,10353,41412,0,0,train,0.95,110.0,0.9500042200088501,data/features/dataset2_honeybee/pca_artifacts/centered64_neg4x__hog16_pca.joblib,OK,created_or_overwritten,37.4298,2026-05-25 03:39:37,HOG32 removed from Stage 03 feature grid.
