dataset_name,patch_set,hog_variant,pca_artifact_path,pca_action,pca_fit_split,train_row_count,original_hog_dimension,pca_n_components_actual,pca_explained_variance_target,pca_explained_variance_actual
dataset2_honeybee,centered48_balanced,hog8,data/features/dataset2_honeybee/pca_artifacts/centered48_balanced__hog8_pca.joblib,created_or_overwritten,train,18422,900,272,0.95,0.9504390954971313
dataset2_honeybee,centered48_balanced,hog16,data/features/dataset2_honeybee/pca_artifacts/centered48_balanced__hog16_pca.joblib,created_or_overwritten,train,18422,144,60,0.95,0.9503400921821594
dataset2_honeybee,centered48_neg4x,hog8,data/features/dataset2_honeybee/pca_artifacts/centered48_neg4x__hog8_pca.joblib,created_or_overwritten,train,46055,900,279,0.95,0.9502237439155579
dataset2_honeybee,centered48_neg4x,hog16,data/features/dataset2_honeybee/pca_artifacts/centered48_neg4x__hog16_pca.joblib,created_or_overwritten,train,46055,144,61,0.95,0.9504484534263611
dataset2_honeybee,centered64_balanced,hog8,data/features/dataset2_honeybee/pca_artifacts/centered64_balanced__hog8_pca.joblib,created_or_overwritten,train,18422,1764,485,0.95,0.9503005743026733
dataset2_honeybee,centered64_balanced,hog16,data/features/dataset2_honeybee/pca_artifacts/centered64_balanced__hog16_pca.joblib,created_or_overwritten,train,18422,324,109,0.95,0.9511193037033081
dataset2_honeybee,centered64_neg4x,hog8,data/features/dataset2_honeybee/pca_artifacts/centered64_neg4x__hog8_pca.joblib,created_or_overwritten,train,46055,1764,498,0.95,0.9502464532852173
dataset2_honeybee,centered64_neg4x,hog16,data/features/dataset2_honeybee/pca_artifacts/centered64_neg4x__hog16_pca.joblib,created_or_overwritten,train,46055,324,110,0.95,0.9500042200088501
dataset2_honeybee,centered80_balanced,hog8,data/features/dataset2_honeybee/pca_artifacts/centered80_balanced__hog8_pca.joblib,created_or_overwritten,train,18422,2916,759,0.95,0.9500267505645752
dataset2_honeybee,centered80_balanced,hog16,data/features/dataset2_honeybee/pca_artifacts/centered80_balanced__hog16_pca.joblib,created_or_overwritten,train,18422,576,170,0.95,0.9503062963485718
dataset2_honeybee,centered80_neg4x,hog8,data/features/dataset2_honeybee/pca_artifacts/centered80_neg4x__hog8_pca.joblib,created_or_overwritten,train,46055,2916,780,0.95,0.9500598907470703
dataset2_honeybee,centered80_neg4x,hog16,data/features/dataset2_honeybee/pca_artifacts/centered80_neg4x__hog16_pca.joblib,created_or_overwritten,train,46055,576,174,0.95,0.9503026008605957
