model_id,dataset_name,patch_set,feature_set,feature_file_path,feature_file_exists,row_count_manifest,train_row_count_manifest,valid_row_count_manifest,test_row_count_manifest,metadata_column_count_manifest,feature_column_count_manifest,total_column_count_manifest,nan_count_manifest,inf_count_manifest,status_manifest,validation_errors
d1_linsvm_001,dataset1_varroa,centered80_balanced,hog8_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog8_hsv_lbp.parquet,True,10246,6064,1288,2894,28,2958,2986,0,0,OK,
d1_linsvm_002,dataset1_varroa,centered80_balanced,hog8_hsv,data/features/dataset1_varroa/centered80_balanced__hog8_hsv.parquet,True,10246,6064,1288,2894,28,2948,2976,0,0,OK,
d1_linsvm_003,dataset1_varroa,centered80_balanced,hog8_only,data/features/dataset1_varroa/centered80_balanced__hog8_only.parquet,True,10246,6064,1288,2894,28,2916,2944,0,0,OK,
d1_linsvm_004,dataset1_varroa,centered80_balanced,hog16_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog16_hsv_lbp.parquet,True,10246,6064,1288,2894,28,618,646,0,0,OK,
d1_linsvm_005,dataset1_varroa,centered80_balanced,hog16_hsv,data/features/dataset1_varroa/centered80_balanced__hog16_hsv.parquet,True,10246,6064,1288,2894,28,608,636,0,0,OK,
d1_linsvm_006,dataset1_varroa,centered80_balanced,hog16_only,data/features/dataset1_varroa/centered80_balanced__hog16_only.parquet,True,10246,6064,1288,2894,28,576,604,0,0,OK,
d1_linsvm_007,dataset1_varroa,centered80_balanced,hsv_lbp_only,data/features/dataset1_varroa/centered80_balanced__hsv_lbp_only.parquet,True,10246,6064,1288,2894,28,42,70,0,0,OK,
d1_linsvm_008,dataset1_varroa,centered80_balanced,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog8_pca_hsv_lbp.parquet,True,10246,6064,1288,2894,28,781,809,0,0,OK,
d1_linsvm_009,dataset1_varroa,centered80_balanced,hog8_pca_hsv,data/features/dataset1_varroa/centered80_balanced__hog8_pca_hsv.parquet,True,10246,6064,1288,2894,28,771,799,0,0,OK,
d1_linsvm_010,dataset1_varroa,centered80_balanced,hog8_pca_only,data/features/dataset1_varroa/centered80_balanced__hog8_pca_only.parquet,True,10246,6064,1288,2894,28,739,767,0,0,OK,
d1_linsvm_011,dataset1_varroa,centered80_balanced,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv_lbp.parquet,True,10246,6064,1288,2894,28,219,247,0,0,OK,
d1_linsvm_012,dataset1_varroa,centered80_balanced,hog16_pca_hsv,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv.parquet,True,10246,6064,1288,2894,28,209,237,0,0,OK,
d1_linsvm_013,dataset1_varroa,centered80_balanced,hog16_pca_only,data/features/dataset1_varroa/centered80_balanced__hog16_pca_only.parquet,True,10246,6064,1288,2894,28,177,205,0,0,OK,
d1_linsvm_014,dataset1_varroa,centered80_neg4x,hog8_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv_lbp.parquet,True,25615,15160,3220,7235,28,2958,2986,0,0,OK,
d1_linsvm_015,dataset1_varroa,centered80_neg4x,hog8_hsv,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv.parquet,True,25615,15160,3220,7235,28,2948,2976,0,0,OK,
d1_linsvm_016,dataset1_varroa,centered80_neg4x,hog8_only,data/features/dataset1_varroa/centered80_neg4x__hog8_only.parquet,True,25615,15160,3220,7235,28,2916,2944,0,0,OK,
d1_linsvm_017,dataset1_varroa,centered80_neg4x,hog16_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv_lbp.parquet,True,25615,15160,3220,7235,28,618,646,0,0,OK,
