model_id,dataset_name,dataset_short,algorithm_name,algorithm_short,model_index,patch_set,patch_size,ratio_variant,feature_set,feature_file_path,model_file_path,pipeline_steps,model_type,scaler_used,model_fit_split,valid_used_for_fit_or_selection,test_used_for_fit_or_selection,class_weight,hyperparameter_grid_name,search_strategy,cv_used,cv_folds,scoring,score_method,random_state,created_at,fit_status,fit_runtime_seconds,selected_params_json,best_cv_score,feature_count_actual,train_row_count_actual,train_positive_count_actual,train_negative_count_actual,error_message,notes
d1_linsvm_001,dataset1_varroa,d1,linear_svm,linsvm,1,centered80_balanced,80,balanced,hog8_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog8_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_001__centered80_balanced__hog8_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:17:51,trained,127.45889163017273,"{""model__C"": 0.01}",0.9059813471254392,2958,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_002,dataset1_varroa,d1,linear_svm,linsvm,2,centered80_balanced,80,balanced,hog8_hsv,data/features/dataset1_varroa/centered80_balanced__hog8_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_002__centered80_balanced__hog8_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:19:59,trained,125.36152982711792,"{""model__C"": 0.01}",0.9028564444989655,2948,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_003,dataset1_varroa,d1,linear_svm,linsvm,3,centered80_balanced,80,balanced,hog8_only,data/features/dataset1_varroa/centered80_balanced__hog8_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_003__centered80_balanced__hog8_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:22:04,trained,303.5274815559387,"{""model__C"": 0.01}",0.7737551369965979,2916,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_004,dataset1_varroa,d1,linear_svm,linsvm,4,centered80_balanced,80,balanced,hog16_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog16_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:27:08,trained,31.773765325546265,"{""model__C"": 0.01}",0.9449624185084863,618,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_005,dataset1_varroa,d1,linear_svm,linsvm,5,centered80_balanced,80,balanced,hog16_hsv,data/features/dataset1_varroa/centered80_balanced__hog16_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_005__centered80_balanced__hog16_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:27:40,trained,31.959356784820557,"{""model__C"": 0.01}",0.9444592220416071,608,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_006,dataset1_varroa,d1,linear_svm,linsvm,6,centered80_balanced,80,balanced,hog16_only,data/features/dataset1_varroa/centered80_balanced__hog16_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_006__centered80_balanced__hog16_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:28:12,trained,29.45927119255066,"{""model__C"": 0.01}",0.8257676101934819,576,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_007,dataset1_varroa,d1,linear_svm,linsvm,7,centered80_balanced,80,balanced,hsv_lbp_only,data/features/dataset1_varroa/centered80_balanced__hsv_lbp_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_007__centered80_balanced__hsv_lbp_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:28:42,trained,1.9020233154296875,"{""model__C"": 1.0}",0.9424697710959928,42,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_008,dataset1_varroa,d1,linear_svm,linsvm,8,centered80_balanced,80,balanced,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog8_pca_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_008__centered80_balanced__hog8_pca_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:28:44,trained,18.500956296920776,"{""model__C"": 0.01}",0.9184277041577588,781,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_009,dataset1_varroa,d1,linear_svm,linsvm,9,centered80_balanced,80,balanced,hog8_pca_hsv,data/features/dataset1_varroa/centered80_balanced__hog8_pca_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_009__centered80_balanced__hog8_pca_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:29:03,trained,20.361759185791016,"{""model__C"": 0.01}",0.9114101472077648,771,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_010,dataset1_varroa,d1,linear_svm,linsvm,10,centered80_balanced,80,balanced,hog8_pca_only,data/features/dataset1_varroa/centered80_balanced__hog8_pca_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_010__centered80_balanced__hog8_pca_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:29:23,trained,11.731139659881592,"{""model__C"": 0.01}",0.7862055245813272,739,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
