phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.6,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,58.01561117172241,700,69300,2519,705,3.5985714285714288,1.0071428571428571,0.028148174285888672,4.021167755126953e-05,319,386,186,0.4524822695035461,0.6316831683168317,0.5272727272727272,0.5514285714285714,0.26571428571428574,242,46,0.19008264462809918,0.859504132231405,0.36203518056286077,292,413,213,0.41418439716312055,0.5782178217821782,0.48264462809917347,0.59,0.30428571428571427,242,46,0.19008264462809918,0.859504132231405,0.3888569086181037,222,483,283,0.3148936170212766,0.4396039603960396,0.3669421487603306,0.69,0.4042857142857143,242,46,0.19008264462809918,0.859504132231405,0.43926640853001636,0.028148174285888672,58.0437593460083,0.03327822685241699
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.7,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,58.01561117172241,700,69300,1432,457,2.045714285714286,0.6528571428571428,0.015439987182617188,2.2057124546595983e-05,255,202,250,0.5579868708971554,0.504950495049505,0.5301455301455301,0.2885714285714286,0.35714285714285715,242,29,0.11983471074380166,0.9090909090909091,0.37620855677132714,240,217,265,0.5251641137855579,0.4752475247524752,0.4989604989604989,0.31,0.37857142857142856,242,29,0.11983471074380166,0.9090909090909091,0.3952483332272782,182,275,323,0.3982494529540481,0.3603960396039604,0.3783783783783784,0.39285714285714285,0.4614285714285714,242,29,0.11983471074380166,0.9090909090909091,0.4487716556728992,0.015439987182617188,58.03105115890503,0.018890380859375
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.8,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,58.01561117172241,700,69300,668,259,0.9542857142857143,0.37,0.003972530364990234,5.675043378557478e-06,180,79,325,0.694980694980695,0.3564356435643564,0.4712041884816754,0.11285714285714285,0.4642857142857143,242,12,0.049586776859504134,0.9586776859504132,0.3840115186973263,169,90,336,0.6525096525096525,0.3346534653465347,0.4424083769633508,0.12857142857142856,0.48,242,12,0.049586776859504134,0.9586776859504132,0.4002077214939073,133,126,372,0.5135135135135135,0.2633663366336634,0.3481675392670157,0.18,0.5314285714285715,242,12,0.049586776859504134,0.9586776859504132,0.44967758754844156,0.003972530364990234,58.0195837020874,0.011225223541259766
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.85,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,58.01561117172241,700,69300,358,171,0.5114285714285715,0.24428571428571427,0.012942790985107422,1.8489701407296317e-05,130,41,375,0.7602339181286549,0.25742574257425743,0.3846153846153845,0.05857142857142857,0.5357142857142857,242,8,0.03305785123966942,0.9710743801652892,0.36656906125924227,119,52,386,0.695906432748538,0.23564356435643563,0.35207100591715973,0.07428571428571429,0.5514285714285714,242,8,0.03305785123966942,0.9710743801652892,0.3868419508811152,90,81,415,0.5263157894736842,0.1782178217821782,0.2662721893491124,0.11571428571428571,0.5928571428571429,242,8,0.03305785123966942,0.9710743801652892,0.4359319621501969,0.012942790985107422,58.02855396270752,0.01541900634765625
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.9,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,58.01561117172241,700,69300,157,87,0.22428571428571428,0.12428571428571429,0.006398200988769531,9.140287126813616e-06,73,14,432,0.8390804597701149,0.14455445544554454,0.24662162162162157,0.02,0.6171428571428571,242,3,0.012396694214876033,0.987603305785124,0.3795586401778784,69,18,436,0.7931034482758621,0.13663366336633664,0.23310810810810811,0.025714285714285714,0.6228571428571429,242,3,0.012396694214876033,0.987603305785124,0.3921365462140198,50,37,455,0.5747126436781609,0.09900990099009901,0.16891891891891894,0.05285714285714286,0.65,242,3,0.012396694214876033,0.987603305785124,0.4469637334760771,0.006398200988769531,58.02200937271118,0.008790254592895508
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.95,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,58.01561117172241,700,69300,27,22,0.03857142857142857,0.03142857142857143,0.006043910980224609,8.634158543178014e-06,20,2,485,0.9090909090909091,0.039603960396039604,0.07590132827324478,0.002857142857142857,0.6928571428571428,242,1,0.004132231404958678,0.9958677685950413,0.35068496976807384,19,3,486,0.8636363636363636,0.03762376237623762,0.07210626185958253,0.004285714285714286,0.6942857142857143,242,1,0.004132231404958678,0.9958677685950413,0.36049030703777063,12,10,493,0.5454545454545454,0.023762376237623763,0.04554079696394687,0.014285714285714285,0.7042857142857143,242,1,0.004132231404958678,0.9958677685950413,0.4220875116471732,0.006043910980224609,58.02165508270264,0.008047819137573242
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.99,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,58.01561117172241,700,69300,0,0,0.0,0.0,0.0023779869079589844,3.3971241542271207e-06,0,0,505,0.0,0.0,0.0,0.0,0.7214285714285714,242,0,0.0,1.0,0.0,0,0,505,0.0,0.0,0.0,0.0,0.7214285714285714,242,0,0.0,1.0,0.0,0,0,505,0.0,0.0,0.0,0.0,0.7214285714285714,242,0,0.0,1.0,0.0,0.0023779869079589844,58.01798915863037,0.005778789520263672
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,predict_proba_score_threshold,0.6,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.32504343986511,700,69300,2146,575,3.065714285714286,0.8214285714285714,0.020088672637939453,2.8698103768484933e-05,280,295,225,0.48695652173913045,0.5544554455445545,0.5185185185185186,0.42142857142857143,0.32142857142857145,242,37,0.15289256198347106,0.8842975206611571,0.3579306538721657,258,317,247,0.44869565217391305,0.5108910891089109,0.4777777777777778,0.45285714285714285,0.35285714285714287,242,37,0.15289256198347106,0.8842975206611571,0.3861069504620617,187,388,318,0.32521739130434785,0.3702970297029703,0.3462962962962963,0.5542857142857143,0.4542857142857143,242,37,0.15289256198347106,0.8842975206611571,0.44136572158163867,0.020088672637939453,63.34513211250305,0.023498058319091797
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,predict_proba_score_threshold,0.7,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.32504343986511,700,69300,1079,348,1.5414285714285714,0.49714285714285716,0.005398273468017578,7.711819240025112e-06,215,133,290,0.617816091954023,0.42574257425742573,0.5041031652989448,0.19,0.4142857142857143,242,20,0.08264462809917356,0.9256198347107438,0.358887917602536,196,152,309,0.5632183908045977,0.38811881188118813,0.45955451348182885,0.21714285714285714,0.44142857142857145,242,20,0.08264462809917356,0.9256198347107438,0.3861582537123547,143,205,362,0.4109195402298851,0.28316831683168314,0.3352872215709261,0.29285714285714287,0.5171428571428571,242,20,0.08264462809917356,0.9256198347107438,0.4388128400041756,0.005398273468017578,63.33044171333313,0.016398906707763672
phase1_threshold_sweep,dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,predict_proba_score_threshold,0.8,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.32504343986511,700,69300,377,153,0.5385714285714286,0.21857142857142858,0.0076978206634521484,1.0996886662074497e-05,117,36,388,0.7647058823529411,0.2316831683168317,0.3556231003039514,0.05142857142857143,0.5542857142857143,242,4,0.01652892561983471,0.9834710743801653,0.372199106961619,106,47,399,0.6928104575163399,0.2099009900990099,0.32218844984802436,0.06714285714285714,0.57,242,4,0.01652892561983471,0.9834710743801653,0.39612050748592925,84,69,421,0.5490196078431373,0.16633663366336635,0.25531914893617025,0.09857142857142857,0.6014285714285714,242,4,0.01652892561983471,0.9834710743801653,0.4329779278929567,0.0076978206634521484,63.332741260528564,0.009693384170532227
