phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,1.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,4164,1134,5.948571428571428,1.62,0.0607037544250488,8.671964917864119e-05,188,946,54,0.1657848324514991,0.7768595041322314,0.2732558139534883,1.3514285714285714,0.0771428571428571,540,805,1.4907407407407407,0.3462962962962962,0.4791373269792683,185,949,57,0.1631393298059964,0.7644628099173554,0.2688953488372093,1.3557142857142856,0.0814285714285714,540,805,1.4907407407407407,0.3462962962962962,0.4856688493551805,177,957,65,0.156084656084656,0.731404958677686,0.2572674418604651,1.3671428571428572,0.0928571428571428,540,805,1.4907407407407407,0.3462962962962962,0.4980592757689113,0.0607037544250488,1021.6995561122894,0.0702197551727294
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,1.6,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,2915,818,4.164285714285715,1.1685714285714286,0.0409605503082275,5.8515071868896486e-05,164,654,78,0.2004889975550122,0.6776859504132231,0.3094339622641509,0.9342857142857144,0.1114285714285714,540,561,1.038888888888889,0.4388888888888889,0.4799861296682798,163,655,79,0.1992665036674816,0.6735537190082644,0.3075471698113207,0.9357142857142856,0.1128571428571428,540,561,1.038888888888889,0.4388888888888889,0.484302384805659,153,665,89,0.187041564792176,0.6322314049586777,0.2886792452830188,0.95,0.1271428571428571,540,561,1.038888888888889,0.4388888888888889,0.5014852448169005,0.0409605503082275,1021.6798129081726,0.0506138801574707
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,1.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,2024,612,2.8914285714285715,0.8742857142857143,0.0382015705108642,5.457367215837751e-05,147,465,95,0.2401960784313725,0.6074380165289256,0.3442622950819672,0.6642857142857143,0.1357142857142857,540,394,0.7296296296296296,0.5444444444444444,0.4836432566330749,146,466,96,0.238562091503268,0.6033057851239669,0.3419203747072599,0.6657142857142857,0.1371428571428571,540,394,0.7296296296296296,0.5444444444444444,0.4875404414561881,142,470,100,0.2320261437908496,0.5867768595041323,0.3325526932084309,0.6714285714285714,0.1428571428571428,540,394,0.7296296296296296,0.5444444444444444,0.4952156929197238,0.0382015705108642,1021.6770539283752,0.0382015705108642
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.0,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,1379,446,1.97,0.6371428571428571,0.0392992496490478,5.61417852129255e-05,120,326,122,0.2690582959641255,0.4958677685950413,0.3488372093023256,0.4657142857142857,0.1742857142857143,540,278,0.5148148148148148,0.6407407407407407,0.4790877274648823,118,328,124,0.2645739910313901,0.4876033057851239,0.3430232558139535,0.4685714285714286,0.1771428571428571,540,278,0.5148148148148148,0.6407407407407407,0.4850089103882271,114,332,128,0.2556053811659193,0.4710743801652892,0.3313953488372093,0.4742857142857143,0.1828571428571428,540,278,0.5148148148148148,0.6407407407407407,0.4937067172470809,0.0392992496490478,1021.6781516075134,0.0424985885620117
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.2,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,938,335,1.34,0.4785714285714286,0.0278875827789306,3.983940396990095e-05,106,229,136,0.3164179104477612,0.4380165289256198,0.3674176776429809,0.3271428571428571,0.1942857142857142,540,203,0.3759259259259259,0.7185185185185186,0.4757148861719568,104,231,138,0.3104477611940298,0.4297520661157025,0.3604852686308492,0.33,0.1971428571428571,540,203,0.3759259259259259,0.7185185185185186,0.4821333999569498,99,236,143,0.2955223880597015,0.4090909090909091,0.34315424610052,0.3371428571428571,0.2042857142857143,540,203,0.3759259259259259,0.7185185185185186,0.4928846650721963,0.0278875827789306,1021.6667399406432,0.0346236228942871
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,629,247,0.8985714285714286,0.3528571428571428,0.0315752029418945,4.510743277413504e-05,83,164,159,0.3360323886639676,0.3429752066115702,0.3394683026584867,0.2342857142857143,0.2271428571428571,540,149,0.2759259259259259,0.7870370370370371,0.4746875972970433,82,165,160,0.3319838056680162,0.3388429752066115,0.3353783231083844,0.2357142857142857,0.2285714285714285,540,149,0.2759259259259259,0.7870370370370371,0.4787513536576963,78,169,164,0.3157894736842105,0.3223140495867768,0.3190184049079755,0.2414285714285714,0.2342857142857143,540,149,0.2759259259259259,0.7870370370370371,0.4897827390193479,0.0315752029418945,1021.6704275608064,0.0349862575531005
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.6,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,391,167,0.5585714285714286,0.2385714285714285,0.0321583747863769,4.5940535409109935e-05,69,98,173,0.4131736526946107,0.2851239669421487,0.3374083129584352,0.14,0.2471428571428571,540,92,0.1703703703703703,0.8592592592592593,0.47265929284665,68,99,174,0.4071856287425149,0.2809917355371901,0.3325183374083129,0.1414285714285714,0.2485714285714285,540,92,0.1703703703703703,0.8592592592592593,0.477416630523662,63,104,179,0.3772455089820359,0.2603305785123967,0.3080684596577017,0.1485714285714285,0.2557142857142857,540,92,0.1703703703703703,0.8592592592592593,0.4957435957140926,0.0321583747863769,1021.6710107326508,0.0349719524383544
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,242,106,0.3457142857142857,0.1514285714285714,0.0300943851470947,4.29919787815639e-05,51,55,191,0.4811320754716981,0.2107438016528925,0.2931034482758621,0.0785714285714285,0.2728571428571428,540,51,0.0944444444444444,0.912962962962963,0.4689909286077229,50,56,192,0.4716981132075472,0.2066115702479339,0.2873563218390804,0.08,0.2742857142857143,540,51,0.0944444444444444,0.912962962962963,0.4757280265913967,47,59,195,0.4433962264150943,0.1942148760330578,0.2701149425287356,0.0842857142857142,0.2785714285714286,540,51,0.0944444444444444,0.912962962962963,0.4910546031181449,0.0300943851470947,1021.6689467430116,0.0413076877593994
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,3.0,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1021.6388523578644,700,588700,150,63,0.2142857142857142,0.09,0.0346293449401855,4.947049277169364e-05,34,29,208,0.5396825396825397,0.140495867768595,0.2229508196721311,0.0414285714285714,0.2971428571428571,540,26,0.0481481481481481,0.9555555555555556,0.491550095988831,34,29,208,0.5396825396825397,0.140495867768595,0.2229508196721311,0.0414285714285714,0.2971428571428571,540,26,0.0481481481481481,0.9555555555555556,0.491550095988831,32,31,210,0.5079365079365079,0.1322314049586777,0.2098360655737705,0.0442857142857142,0.3,540,26,0.0481481481481481,0.9555555555555556,0.5055284622396611,0.0346293449401855,1021.6734817028046,0.0388336181640625
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,score_threshold,1.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,936.8007061481476,700,588700,4928,1442,7.04,2.06,0.064234972000122,9.17642457144601e-05,209,1233,33,0.1449375866851595,0.8636363636363636,0.2482185273159144,1.7614285714285711,0.0471428571428571,540,1035,1.9166666666666667,0.2537037037037037,0.4765265639822639,206,1236,36,0.1428571428571428,0.8512396694214877,0.2446555819477434,1.7657142857142858,0.0514285714285714,540,1035,1.9166666666666667,0.2537037037037037,0.4843757520584651,200,1242,42,0.1386962552011095,0.8264462809917356,0.2375296912114014,1.7742857142857142,0.06,540,1035,1.9166666666666667,0.2537037037037037,0.4933965235835185,0.064234972000122,936.8649411201476,0.0717425346374511
