rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
1,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.2,1.0,0.5245901639344261,0.2428571428571428,0.4752475247524752,0.4087431693989071,0.3185714285714285,0.3702970297029703,11
2,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.2,1.0,0.5204081632653061,0.3142857142857143,0.504950495049505,0.3755102040816326,0.4157142857142857,0.3643564356435643,25
3,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.2,1.0,0.5191873589164786,0.2157142857142857,0.4554455445544554,0.381489841986456,0.3028571428571429,0.3346534653465347,21
4,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.85,4,0.2,1.0,0.5182012847965739,0.2671428571428571,0.4792079207920792,0.3661670235546039,0.3685714285714285,0.3386138613861386,29
5,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.2,1.0,0.516,0.3385714285714286,0.5108910891089109,0.362,0.4485714285714285,0.3584158415841584,31
6,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.2,1.0,0.5134575569358177,0.3042857142857142,0.4910891089108911,0.3747412008281574,0.4,0.3584158415841584,26
7,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.2,1.0,0.5018796992481203,0.4171428571428571,0.5287128712871287,0.3778195488721804,0.5114285714285715,0.398019801980198,23
8,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.25,1.0,0.5010706638115632,0.2785714285714286,0.4633663366336634,0.3768736616702355,0.3614285714285714,0.3485148514851485,24
9,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.85,4,0.25,1.0,0.4989939637826961,0.3442857142857143,0.4910891089108911,0.3561368209255533,0.4457142857142857,0.3504950495049505,34
10,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.3,1.0,0.4989604989604989,0.31,0.4752475247524752,0.3783783783783784,0.3928571428571428,0.3603960396039604,22
11,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.25,1.0,0.4949290060851927,0.3385714285714286,0.4831683168316831,0.3955375253549696,0.4085714285714286,0.3861386138613861,15
12,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.25,1.0,0.4923664122137404,0.4071428571428571,0.5108910891089109,0.3664122137404579,0.5014285714285714,0.3801980198019802,28
13,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.85,4,0.3,1.0,0.4901960784313726,0.3785714285714285,0.495049504950495,0.3568627450980392,0.4757142857142857,0.3603960396039604,33
14,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.3,1.0,0.487611496531219,0.3685714285714285,0.4871287128712871,0.396432111000991,0.4342857142857143,0.396039603960396,14
15,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.3,1.0,0.486586493987049,0.4471428571428571,0.5207920792079208,0.3626271970397779,0.5428571428571428,0.3881188118811881,30
16,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.25,1.0,0.4842105263157894,0.41,0.500990099009901,0.3559808612440192,0.5057142857142857,0.3683168316831683,35
17,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.25,1.0,0.4814126394052044,0.4457142857142857,0.5128712871287129,0.3494423791821561,0.5471428571428572,0.3722772277227723,40
18,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.3,1.0,0.4794275491949911,0.4928571428571429,0.5306930693069307,0.3452593917710196,0.6,0.3821782178217822,42
19,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.3,1.0,0.4777777777777778,0.4528571428571428,0.5108910891089109,0.3462962962962963,0.5542857142857143,0.3702970297029703,41
20,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.2,1.25,0.4765027322404372,0.2742857142857143,0.4316831683168317,0.2404371584699453,0.4285714285714285,0.2178217821782178,93
21,dataset2_honeybee,rbf_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_rbfsvm_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.9,4,0.2,1.0,0.4698795180722891,0.5485714285714286,0.5405940594059406,0.3287435456110155,0.6657142857142857,0.3782178217821782,58
22,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.25,1.0,0.4681583476764199,0.55,0.5386138613861386,0.3597246127366609,0.64,0.4138613861386138,32
23,dataset2_honeybee,linear_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.8,4,0.2,1.0,0.4652840396753832,0.4942857142857143,0.5108910891089109,0.3354373309287646,0.5971428571428572,0.3683168316831683,51
24,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.2,1.25,0.4650112866817155,0.25,0.4079207920792079,0.2257336343115124,0.4014285714285714,0.198019801980198,104
25,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.3,1.0,0.4589614740368509,0.5928571428571429,0.5425742574257426,0.3534338358458961,0.6828571428571428,0.4178217821782178,36
26,dataset2_honeybee,linear_svm,centered48_balanced,hog16_hsv_lbp,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,0.8,4,0.2,1.0,0.4587813620071684,0.5071428571428571,0.5069306930693069,0.3207885304659498,0.6171428571428571,0.3544554455445544,64
27,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.85,4,0.2,1.25,0.45610278372591,0.3085714285714285,0.4217821782178217,0.2119914346895075,0.4714285714285714,0.196039603960396,116
28,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.2,1.25,0.4554865424430642,0.3442857142857143,0.4356435643564356,0.2236024844720497,0.5042857142857143,0.2138613861386138,105
29,dataset2_honeybee,linear_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_linsvm_024__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.4,4,0.2,1.0,0.4548352816153028,0.3171428571428571,0.4237623762376237,0.3294367693942614,0.4014285714285714,0.3069306930693069,57
30,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.2,1.25,0.454,0.3828571428571428,0.4495049504950495,0.208,0.5585714285714286,0.2059405940594059,121
