phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,predict_proba_score_threshold,0.7,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,716.9850029945374,500,420500,818,368,1.636,0.736,0.027055978775024414,5.4111957550048826e-05,151,217,157,0.41032608695652173,0.4902597402597403,0.4467455621301775,0.434,0.314,250,114,0.456,0.696,0.4635444322343407,147,221,161,0.39945652173913043,0.4772727272727273,0.4349112426035503,0.442,0.322,250,114,0.456,0.696,0.478039939815529,137,231,171,0.37228260869565216,0.4448051948051948,0.40532544378698226,0.462,0.342,250,114,0.456,0.696,0.5042943758353491,0.027055978775024414,717.0120589733124,0.030060529708862305
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,predict_proba_score_threshold,0.7,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,716.9850029945374,500,420500,818,368,1.636,0.736,0.023409128189086914,4.681825637817383e-05,151,217,157,0.41032608695652173,0.4902597402597403,0.4467455621301775,0.434,0.314,250,114,0.456,0.696,0.40590930367238176,147,221,161,0.39945652173913043,0.4772727272727273,0.4349112426035503,0.442,0.322,250,114,0.456,0.696,0.41706900091880555,132,236,176,0.358695652173913,0.42857142857142855,0.3905325443786982,0.472,0.352,250,114,0.456,0.696,0.4382295449458698,0.023409128189086914,717.0084121227264,0.03218960762023926
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,predict_proba_score_threshold,0.7,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,716.9850029945374,500,420500,818,416,1.636,0.832,0.027631521224975586,5.526304244995117e-05,155,261,153,0.37259615384615385,0.5032467532467533,0.4281767955801105,0.522,0.306,250,131,0.524,0.696,0.4584425335535849,151,265,157,0.3629807692307692,0.4902597402597403,0.41712707182320435,0.53,0.314,250,131,0.524,0.696,0.4810342109744993,143,273,165,0.34375,0.4642857142857143,0.3950276243093923,0.546,0.33,250,131,0.524,0.696,0.5076116864256721,0.027631521224975586,717.0126345157623,0.032259464263916016
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,predict_proba_score_threshold,0.7,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,716.9850029945374,500,420500,818,416,1.636,0.832,0.027020692825317383,5.4041385650634765e-05,155,261,153,0.37259615384615385,0.5032467532467533,0.4281767955801105,0.522,0.306,250,131,0.524,0.696,0.39877076650880877,151,265,157,0.3629807692307692,0.4902597402597403,0.41712707182320435,0.53,0.314,250,131,0.524,0.696,0.41132785023611423,136,280,172,0.3269230769230769,0.44155844155844154,0.3756906077348066,0.56,0.344,250,131,0.524,0.696,0.4470695079317891,0.027020692825317383,717.0120236873627,0.02801203727722168
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,predict_proba_score_threshold,0.7,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,716.9850029945374,500,420500,818,416,1.636,0.832,0.030636310577392578,6.127262115478515e-05,155,261,153,0.37259615384615385,0.5032467532467533,0.4281767955801105,0.522,0.306,250,131,0.524,0.696,0.4584425335535849,151,265,157,0.3629807692307692,0.4902597402597403,0.41712707182320435,0.53,0.314,250,131,0.524,0.696,0.4810342109744993,143,273,165,0.34375,0.4642857142857143,0.3950276243093923,0.546,0.33,250,131,0.524,0.696,0.5076116864256721,0.030636310577392578,717.0156393051147,0.033640384674072266
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,predict_proba_score_threshold,0.7,4,0.3,1.25,weighted_center,OK,per_model_per_stride_in_memory,716.9850029945374,500,420500,818,416,1.636,0.832,0.0269162654876709,5.3832530975341795e-05,155,261,153,0.37259615384615385,0.5032467532467533,0.4281767955801105,0.522,0.306,250,131,0.524,0.696,0.39877076650880877,151,265,157,0.3629807692307692,0.4902597402597403,0.41712707182320435,0.53,0.314,250,131,0.524,0.696,0.41132785023611423,136,280,172,0.3269230769230769,0.44155844155844154,0.3756906077348066,0.56,0.344,250,131,0.524,0.696,0.4470695079317891,0.0269162654876709,717.011919260025,0.03005838394165039
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,714.7812795639038,500,420500,1203,431,2.406,0.862,0.02667546272277832,5.335092544555664e-05,177,254,131,0.41067285382830626,0.5746753246753247,0.47902571041948583,0.508,0.262,250,121,0.484,0.724,0.45320022106332464,168,263,140,0.38979118329466356,0.5454545454545454,0.45466847090663054,0.526,0.28,250,121,0.484,0.724,0.4741644150367816,155,276,153,0.35962877030162416,0.5032467532467533,0.4194857916102842,0.552,0.306,250,121,0.484,0.724,0.49828219325355005,0.02667546272277832,714.8079550266266,0.027680397033691406
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.8,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,714.7812795639038,500,420500,1203,431,2.406,0.862,0.03128504753112793,6.257009506225586e-05,180,251,128,0.4176334106728538,0.5844155844155844,0.48714479025710417,0.502,0.256,250,121,0.484,0.724,0.40309927958375863,169,262,139,0.39211136890951276,0.5487012987012987,0.45737483085250336,0.524,0.278,250,121,0.484,0.724,0.42385069643023565,157,274,151,0.3642691415313225,0.5097402597402597,0.42489851150202973,0.548,0.302,250,121,0.484,0.724,0.44252479285012686,0.03128504753112793,714.8125646114349,0.034670352935791016
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.8,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,714.7812795639038,500,420500,1203,492,2.406,0.984,0.027775049209594727,5.555009841918945e-05,182,310,126,0.3699186991869919,0.5909090909090909,0.45499999999999996,0.62,0.252,250,138,0.552,0.724,0.4504518892988717,172,320,136,0.34959349593495936,0.5584415584415584,0.43000000000000005,0.64,0.272,250,138,0.552,0.724,0.4784705678922854,163,329,145,0.3313008130081301,0.5292207792207793,0.40750000000000003,0.658,0.29,250,138,0.552,0.724,0.4983982034756174,0.027775049209594727,714.8090546131134,0.03202557563781738
phase2_postprocess_sweep,dataset1_varroa,random_forest,d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest/d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.8,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,714.7812795639038,500,420500,1203,492,2.406,0.984,0.029879331588745117,5.975866317749023e-05,183,309,125,0.3719512195121951,0.5941558441558441,0.45749999999999996,0.618,0.25,250,138,0.552,0.724,0.3999215372424919,173,319,135,0.3516260162601626,0.5616883116883117,0.4325,0.638,0.27,250,138,0.552,0.724,0.4226102956199238,160,332,148,0.3252032520325203,0.5194805194805194,0.39999999999999997,0.664,0.296,250,138,0.552,0.724,0.44493931560321,0.029879331588745117,714.8111588954926,0.03310537338256836
