phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,417,2.792,0.834,0.02446770668029785,4.89354133605957e-05,198,219,110,0.4748201438848921,0.6428571428571429,0.5462068965517242,0.438,0.22,250,126,0.504,0.668,0.5000420302352866,195,222,113,0.4676258992805755,0.6331168831168831,0.5379310344827586,0.444,0.226,250,126,0.504,0.668,0.5047974973785136,190,227,118,0.4556354916067146,0.6168831168831169,0.5241379310344828,0.454,0.236,250,126,0.504,0.668,0.5142529899691105,0.02446770668029785,797.0562114715576,0.031502485275268555
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,417,2.792,0.834,0.027904987335205078,5.580997467041016e-05,198,219,110,0.4748201438848921,0.6428571428571429,0.5462068965517242,0.438,0.22,250,126,0.504,0.668,0.44044071291537806,195,222,113,0.4676258992805755,0.6331168831168831,0.5379310344827586,0.444,0.226,250,126,0.504,0.668,0.4445651068067603,187,230,121,0.44844124700239807,0.6071428571428571,0.5158620689655172,0.46,0.242,250,126,0.504,0.668,0.45330674365006485,0.027904987335205078,797.0596487522125,0.031048059463500977
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,501,2.792,1.002,0.0244293212890625,4.8858642578125e-05,205,296,103,0.4091816367265469,0.6655844155844156,0.5067985166872683,0.592,0.206,250,149,0.596,0.668,0.49993067883300557,204,297,104,0.40718562874251496,0.6623376623376623,0.5043263288009888,0.594,0.208,250,149,0.596,0.668,0.5030716805941164,199,302,109,0.3972055888223553,0.6461038961038961,0.49196538936959205,0.604,0.218,250,149,0.596,0.668,0.5163462625617248,0.0244293212890625,797.0561730861664,0.033859968185424805
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,501,2.792,1.002,0.025946617126464844,5.189323425292969e-05,206,295,102,0.4111776447105788,0.6688311688311688,0.5092707045735476,0.59,0.204,250,149,0.596,0.668,0.4372602841222809,204,297,104,0.40718562874251496,0.6623376623376623,0.5043263288009888,0.594,0.208,250,149,0.596,0.668,0.44122117708029973,196,305,112,0.3912175648702595,0.6363636363636364,0.484548825710754,0.61,0.224,250,149,0.596,0.668,0.45381781809370336,0.025946617126464844,797.0576903820038,0.028941869735717773
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,501,2.792,1.002,0.030477523803710938,6.095504760742187e-05,205,296,103,0.4091816367265469,0.6655844155844156,0.5067985166872683,0.592,0.206,250,149,0.596,0.668,0.49993067883300557,204,297,104,0.40718562874251496,0.6623376623376623,0.5043263288009888,0.594,0.208,250,149,0.596,0.668,0.5030716805941164,199,302,109,0.3972055888223553,0.6461038961038961,0.49196538936959205,0.604,0.218,250,149,0.596,0.668,0.5163462625617248,0.030477523803710938,797.062221288681,0.0336155891418457
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.3,1.25,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,501,2.792,1.002,0.024138927459716797,4.827785491943359e-05,206,295,102,0.4111776447105788,0.6688311688311688,0.5092707045735476,0.59,0.204,250,149,0.596,0.668,0.4372602841222809,204,297,104,0.40718562874251496,0.6623376623376623,0.5043263288009888,0.594,0.208,250,149,0.596,0.668,0.44122117708029973,196,305,112,0.3912175648702595,0.6363636363636364,0.484548825710754,0.61,0.224,250,149,0.596,0.668,0.45381781809370336,0.024138927459716797,797.055882692337,0.03173184394836426
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,375,1.86,0.75,0.019884824752807617,3.976964950561524e-05,186,189,122,0.496,0.6038961038961039,0.5446559297218155,0.378,0.244,250,106,0.424,0.68,0.501110997902936,184,191,124,0.49066666666666664,0.5974025974025974,0.5387994143484627,0.382,0.248,250,106,0.424,0.68,0.5058652097805192,178,197,130,0.4746666666666667,0.577922077922078,0.5212298682284042,0.394,0.26,250,106,0.424,0.68,0.514149676818572,0.019884824752807617,1167.9746189117432,0.020888328552246094
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,375,1.86,0.75,0.030170440673828125,6.034088134765625e-05,186,189,122,0.496,0.6038961038961039,0.5446559297218155,0.378,0.244,250,106,0.424,0.68,0.43929565672026005,184,191,124,0.49066666666666664,0.5974025974025974,0.5387994143484627,0.382,0.248,250,106,0.424,0.68,0.44221070543459967,174,201,134,0.464,0.564935064935065,0.5095168374816984,0.402,0.268,250,106,0.424,0.68,0.4538969578610011,0.030170440673828125,1167.9849045276642,0.03316903114318848
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,412,1.86,0.824,0.02081012725830078,4.1620254516601565e-05,195,217,113,0.4733009708737864,0.6331168831168831,0.5416666666666667,0.434,0.226,250,112,0.448,0.68,0.5037961630090598,192,220,116,0.46601941747572817,0.6233766233766234,0.5333333333333333,0.44,0.232,250,112,0.448,0.68,0.5103108019793158,187,225,121,0.4538834951456311,0.6071428571428571,0.5194444444444445,0.45,0.242,250,112,0.448,0.68,0.5169689209795896,0.02081012725830078,1167.9755442142487,0.024440526962280273
phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,412,1.86,0.824,0.024974346160888672,4.9948692321777344e-05,195,217,113,0.4733009708737864,0.6331168831168831,0.5416666666666667,0.434,0.226,250,112,0.448,0.68,0.4389738754475558,193,219,115,0.4684466019417476,0.6266233766233766,0.5361111111111111,0.438,0.23,250,112,0.448,0.68,0.4417496547267945,180,232,128,0.4368932038834951,0.5844155844155844,0.5,0.464,0.256,250,112,0.448,0.68,0.45661251772593486,0.024974346160888672,1167.9797084331512,0.028105735778808594
