phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,score_threshold,0.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,35.62634634971619,500,49500,3672,691,7.344,1.382,0.02726006507873535,5.4520130157470705e-05,223,468,78,0.3227206946454414,0.7408637873754153,0.4495967741935484,0.936,0.156,250,175,0.7,0.504,0.33669063036050845,190,501,111,0.27496382054992763,0.6312292358803987,0.38306451612903225,1.002,0.222,250,175,0.7,0.504,0.37556814316550813,134,557,167,0.1939218523878437,0.44518272425249167,0.2701612903225806,1.114,0.334,250,175,0.7,0.504,0.4330619145647922,0.02726006507873535,35.65360641479492,0.031523942947387695
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,score_threshold,0.5,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,35.62634634971619,500,49500,3049,588,6.098,1.176,0.017221689224243164,3.444337844848633e-05,210,378,91,0.35714285714285715,0.6976744186046512,0.4724409448818898,0.756,0.182,250,142,0.568,0.608,0.3429216499946184,187,401,114,0.31802721088435376,0.6212624584717608,0.420697412823397,0.802,0.228,250,142,0.568,0.608,0.37450427686654053,133,455,168,0.2261904761904762,0.4418604651162791,0.2992125984251969,0.91,0.336,250,142,0.568,0.608,0.428160437709112,0.017221689224243164,35.64356803894043,0.025933027267456055
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,score_threshold,0.6,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,35.62634634971619,500,49500,2500,507,5.0,1.014,0.015263557434082031,3.052711486816406e-05,196,311,105,0.3865877712031558,0.6511627906976745,0.4851485148514852,0.622,0.21,250,108,0.432,0.708,0.3489545652321494,175,332,126,0.34516765285996054,0.5813953488372093,0.43316831683168316,0.664,0.252,250,108,0.432,0.708,0.3802844789219187,129,378,172,0.25443786982248523,0.42857142857142855,0.3193069306930693,0.756,0.344,250,108,0.432,0.708,0.4287703907828536,0.015263557434082031,35.64160990715027,0.021480083465576172
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,score_threshold,0.7,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,35.62634634971619,500,49500,2044,424,4.088,0.848,0.015216350555419922,3.0432701110839845e-05,182,242,119,0.42924528301886794,0.6046511627906976,0.5020689655172413,0.484,0.238,250,85,0.34,0.768,0.35225516238813503,162,262,139,0.38207547169811323,0.5382059800664452,0.446896551724138,0.524,0.278,250,85,0.34,0.768,0.38183422787179466,116,308,185,0.27358490566037735,0.3853820598006645,0.32,0.616,0.37,250,85,0.34,0.768,0.43372817623275256,0.015216350555419922,35.641562700271606,0.017761945724487305
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,score_threshold,0.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,35.62634634971619,500,49500,1673,363,3.346,0.726,0.013222455978393555,2.644491195678711e-05,173,190,128,0.4765840220385675,0.574750830564784,0.5210843373493976,0.38,0.256,250,62,0.248,0.836,0.354998147601658,155,208,146,0.42699724517906334,0.5149501661129569,0.46686746987951805,0.416,0.292,250,62,0.248,0.836,0.38202269548548445,110,253,191,0.30303030303030304,0.3654485049833887,0.3313253012048193,0.506,0.382,250,62,0.248,0.836,0.4349367983950744,0.013222455978393555,35.63956880569458,0.016561508178710938
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,score_threshold,0.9,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,35.62634634971619,500,49500,1333,301,2.666,0.602,0.011098861694335938,2.2197723388671875e-05,152,149,149,0.5049833887043189,0.5049833887043189,0.5049833887043189,0.298,0.298,250,50,0.2,0.864,0.35830710018890805,136,165,165,0.45182724252491696,0.45182724252491696,0.45182724252491696,0.33,0.33,250,50,0.2,0.864,0.3864547956545401,98,203,203,0.32558139534883723,0.32558139534883723,0.32558139534883723,0.406,0.406,250,50,0.2,0.864,0.4373906645539236,0.011098861694335938,35.63744521141052,0.013208866119384766
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,score_threshold,1.0,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,35.62634634971619,500,49500,1063,244,2.126,0.488,0.010115623474121094,2.0231246948242186e-05,132,112,169,0.5409836065573771,0.43853820598006643,0.4844036697247706,0.224,0.338,250,39,0.156,0.9,0.36220861954254135,118,126,183,0.48360655737704916,0.3920265780730897,0.43302752293577984,0.252,0.366,250,39,0.156,0.9,0.39106867767073844,88,156,213,0.36065573770491804,0.292358803986711,0.3229357798165138,0.312,0.426,250,39,0.156,0.9,0.4396418338766422,0.010115623474121094,35.63646197319031,0.011113166809082031
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,score_threshold,1.1,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,35.62634634971619,500,49500,837,196,1.674,0.392,0.0,0.0,109,87,192,0.5561224489795918,0.36212624584717606,0.43863179074446684,0.174,0.384,250,32,0.128,0.92,0.36640815352026995,98,98,203,0.5,0.32558139534883723,0.3943661971830986,0.196,0.406,250,32,0.128,0.92,0.39577952276376227,72,124,229,0.3673469387755102,0.23920265780730898,0.289738430583501,0.248,0.458,250,32,0.128,0.92,0.4446992063991466,0.0,35.62634634971619,0.0
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,centered48_balanced,48,hog16_hsv_lbp,score_threshold,0.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,34.78743362426758,500,49500,3672,695,7.344,1.39,0.024877309799194336,4.9754619598388674e-05,221,474,80,0.31798561151079136,0.7342192691029901,0.44377510040160645,0.948,0.16,250,182,0.728,0.484,0.33461061790253094,191,504,110,0.27482014388489207,0.6345514950166113,0.38353413654618473,1.008,0.22,250,182,0.728,0.484,0.3723669516295683,136,559,165,0.19568345323741007,0.45182724252491696,0.27309236947791166,1.118,0.33,250,182,0.728,0.484,0.4249241868156377,0.024877309799194336,34.81231093406677,0.028325796127319336
phase1_threshold_sweep,dataset2_honeybee,linear_svm,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm/d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,centered48_balanced,48,hog16_hsv_lbp,score_threshold,0.5,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,34.78743362426758,500,49500,3058,589,6.116,1.178,0.02076268196105957,4.152536392211914e-05,207,382,94,0.35144312393887944,0.6877076411960132,0.46516853932584273,0.764,0.188,250,143,0.572,0.604,0.34087675061806894,186,403,115,0.3157894736842105,0.6179401993355482,0.41797752808988764,0.806,0.23,250,143,0.572,0.604,0.37067841091375214,133,456,168,0.22580645161290322,0.4418604651162791,0.298876404494382,0.912,0.336,250,143,0.572,0.604,0.4240766650769437,0.02076268196105957,34.80819630622864,0.024283885955810547
