phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.7,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,41.467220067977905,500,49500,857,228,1.714,0.456,0.005422115325927734,1.084423065185547e-05,150,78,151,0.6578947368421053,0.4983388704318937,0.5671077504725898,0.156,0.302,250,27,0.108,0.908,0.3787168433953455,140,88,161,0.6140350877192983,0.46511627906976744,0.5293005671077504,0.176,0.322,250,27,0.108,0.908,0.39388308239927616,105,123,196,0.4605263157894737,0.3488372093023256,0.39697542533081287,0.246,0.392,250,27,0.108,0.908,0.4409062640636839,0.005422115325927734,41.47264218330383,0.005422115325927734
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.7,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,41.467220067977905,500,49500,857,228,1.714,0.456,0.014489412307739258,2.8978824615478517e-05,149,79,152,0.6535087719298246,0.4950166112956811,0.5633270321361058,0.158,0.304,250,27,0.108,0.908,0.2913658452274757,128,100,173,0.5614035087719298,0.42524916943521596,0.48393194706994325,0.2,0.346,250,27,0.108,0.908,0.312557567009143,56,172,245,0.24561403508771928,0.18604651162790697,0.21172022684310018,0.344,0.49,250,27,0.108,0.908,0.39516958699443816,0.014489412307739258,41.481709480285645,0.014489412307739258
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.7,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,41.467220067977905,500,49500,857,256,1.714,0.512,0.011939048767089844,2.3878097534179688e-05,154,102,147,0.6015625,0.5116279069767442,0.5529622980251346,0.204,0.294,250,29,0.116,0.908,0.3772005717174495,143,113,158,0.55859375,0.4750830564784053,0.5134649910233394,0.226,0.316,250,29,0.116,0.908,0.3955094243154164,111,145,190,0.43359375,0.3687707641196013,0.39856373429084374,0.29,0.38,250,29,0.116,0.908,0.4431342835822037,0.011939048767089844,41.479159116744995,0.014552593231201172
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.7,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,41.467220067977905,500,49500,857,256,1.714,0.512,0.005800008773803711,1.1600017547607423e-05,152,104,149,0.59375,0.5049833887043189,0.5457809694793537,0.208,0.298,250,29,0.116,0.908,0.2888806907751909,131,125,170,0.51171875,0.43521594684385384,0.4703770197486535,0.25,0.34,250,29,0.116,0.908,0.31037635680560877,57,199,244,0.22265625,0.1893687707641196,0.2046678635547576,0.398,0.488,250,29,0.116,0.908,0.397337168152245,0.005800008773803711,41.47302007675171,0.005800008773803711
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.7,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,41.467220067977905,500,49500,857,272,1.714,0.544,0.01633596420288086,3.267192840576172e-05,157,115,144,0.5772058823529411,0.521594684385382,0.5479930191972077,0.23,0.288,250,30,0.12,0.908,0.38035815023738756,149,123,152,0.5477941176470589,0.4950166112956811,0.5200698080279232,0.246,0.304,250,30,0.12,0.908,0.3943087786979211,115,157,186,0.4227941176470588,0.38205980066445183,0.4013961605584642,0.314,0.372,250,30,0.12,0.908,0.44262021951976765,0.01633596420288086,41.483556032180786,0.018329620361328125
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,predict_proba_score_threshold,0.7,4,0.3,1.25,weighted_center,OK,per_model_per_stride_in_memory,41.467220067977905,500,49500,857,272,1.714,0.544,0.010118484497070312,2.0236968994140624e-05,155,117,146,0.5698529411764706,0.5149501661129569,0.5410122164048865,0.234,0.292,250,30,0.12,0.908,0.28833811155632255,133,139,168,0.4889705882352941,0.4418604651162791,0.46422338568935434,0.278,0.336,250,30,0.12,0.908,0.3102041871541145,57,215,244,0.20955882352941177,0.1893687707641196,0.19895287958115182,0.43,0.488,250,30,0.12,0.908,0.3977870413902124,0.010118484497070312,41.477338552474976,0.010118484497070312
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,predict_proba_score_threshold,0.6,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,45.18126440048218,500,49500,1278,282,2.556,0.564,0.010281801223754883,2.0563602447509766e-05,169,113,132,0.599290780141844,0.5614617940199336,0.5797598627787307,0.226,0.264,250,34,0.136,0.884,0.36608992542193236,159,123,142,0.5638297872340425,0.5282392026578073,0.5454545454545454,0.246,0.284,250,34,0.136,0.884,0.3813481800926198,112,170,189,0.3971631205673759,0.37209302325581395,0.3842195540308748,0.34,0.378,250,34,0.136,0.884,0.438408790418693,0.010281801223754883,45.19154620170593,0.010281801223754883
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,predict_proba_score_threshold,0.6,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,45.18126440048218,500,49500,1278,282,2.556,0.564,0.012760639190673828,2.5521278381347656e-05,170,112,131,0.6028368794326241,0.5647840531561462,0.5831903945111492,0.224,0.262,250,34,0.136,0.884,0.27879826615205516,140,142,161,0.49645390070921985,0.46511627906976744,0.48027444253859347,0.284,0.322,250,34,0.136,0.884,0.3089194420348612,59,223,242,0.20921985815602837,0.19601328903654486,0.202401372212693,0.446,0.484,250,34,0.136,0.884,0.3940104561854356,0.012760639190673828,45.19402503967285,0.015571355819702148
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,predict_proba_score_threshold,0.6,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,45.18126440048218,500,49500,1278,330,2.556,0.66,0.0054035186767578125,1.0807037353515626e-05,175,155,126,0.5303030303030303,0.5813953488372093,0.554675118858954,0.31,0.252,250,38,0.152,0.884,0.360549271564029,162,168,139,0.4909090909090909,0.5382059800664452,0.5134706814580032,0.336,0.278,250,38,0.152,0.884,0.3796705969057939,115,215,186,0.3484848484848485,0.38205980066445183,0.36450079239302696,0.43,0.372,250,38,0.152,0.884,0.4397312780120502,0.0054035186767578125,45.186667919158936,0.013864278793334961
phase2_postprocess_sweep,dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest/d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,predict_proba_score_threshold,0.6,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,45.18126440048218,500,49500,1278,330,2.556,0.66,0.005930662155151367,1.1861324310302734e-05,176,154,125,0.5333333333333333,0.584717607973422,0.5578446909667194,0.308,0.25,250,38,0.152,0.884,0.27608997352760406,144,186,157,0.43636363636363634,0.47840531561461797,0.45641838351822506,0.372,0.314,250,38,0.152,0.884,0.30623554040510353,60,270,241,0.18181818181818182,0.19933554817275748,0.1901743264659271,0.54,0.482,250,38,0.152,0.884,0.3923595105503859,0.005930662155151367,45.18719506263733,0.014826297760009766
