phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,decision_function_score_threshold,0.7,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.86565351486206,500,49500,1196,300,2.392,0.6,0.010787248611450195,2.157449722290039e-05,173,127,128,0.5766666666666667,0.574750830564784,0.5757071547420965,0.254,0.256,250,36,0.144,0.876,0.36698685185677415,153,147,148,0.51,0.5083056478405316,0.5091514143094842,0.294,0.296,250,36,0.144,0.876,0.4012832213046038,122,178,179,0.4066666666666667,0.4053156146179402,0.40599001663893514,0.356,0.358,250,36,0.144,0.876,0.44441556630663814,0.010787248611450195,63.87644076347351,0.01279306411743164
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,decision_function_score_threshold,0.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.86565351486206,500,49500,1019,272,2.038,0.544,0.008791208267211914,1.7582416534423827e-05,167,105,134,0.6139705882352942,0.5548172757475083,0.5828970331588132,0.21,0.268,250,29,0.116,0.9,0.3698014923879444,150,122,151,0.5514705882352942,0.4983388704318937,0.5235602094240839,0.244,0.302,250,29,0.116,0.9,0.4019256592848667,120,152,181,0.4411764705882353,0.39867109634551495,0.418848167539267,0.304,0.362,250,29,0.116,0.9,0.44507943639022557,0.008791208267211914,63.87444472312927,0.013553142547607422
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,decision_function_score_threshold,0.9,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.86565351486206,500,49500,852,240,1.704,0.48,0.008433341979980469,1.6866683959960937e-05,157,83,144,0.6541666666666667,0.521594684385382,0.5804066543438077,0.166,0.288,250,21,0.084,0.924,0.37429804393205796,143,97,158,0.5958333333333333,0.4750830564784053,0.5286506469500925,0.194,0.316,250,21,0.084,0.924,0.4034425248273943,115,125,186,0.4791666666666667,0.38205980066445183,0.42513863216266173,0.25,0.372,250,21,0.084,0.924,0.445479321620355,0.008433341979980469,63.87408685684204,0.011445045471191406
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,decision_function_score_threshold,1.0,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.86565351486206,500,49500,721,210,1.442,0.42,0.008085489273071289,1.6170978546142577e-05,139,71,162,0.6619047619047619,0.46179401993355484,0.5440313111545988,0.142,0.324,250,18,0.072,0.936,0.3838878512283048,131,79,170,0.6238095238095238,0.43521594684385384,0.512720156555773,0.158,0.34,250,18,0.072,0.936,0.4003106069988546,105,105,196,0.5,0.3488372093023256,0.4109589041095891,0.21,0.392,250,18,0.072,0.936,0.44092451249124875,0.008085489273071289,63.87373900413513,0.011090993881225586
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,decision_function_score_threshold,1.1,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.86565351486206,500,49500,614,190,1.228,0.38,0.002805471420288086,5.610942840576172e-06,130,60,171,0.6842105263157895,0.4318936877076412,0.5295315682281059,0.12,0.342,250,15,0.06,0.948,0.38382605009956844,121,69,180,0.6368421052631579,0.4019933554817276,0.4928716904276985,0.138,0.36,250,15,0.06,0.948,0.40309234388339205,96,94,205,0.5052631578947369,0.31893687707641194,0.3910386965376782,0.188,0.41,250,15,0.06,0.948,0.4453849814186432,0.002805471420288086,63.86845898628235,0.010312557220458984
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,centered48_neg4x,48,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,63.86565351486206,500,49500,503,170,1.006,0.34,0.0074787139892578125,1.4957427978515624e-05,117,53,184,0.6882352941176471,0.38870431893687707,0.4968152866242039,0.106,0.368,250,13,0.052,0.956,0.381680598063099,109,61,192,0.6411764705882353,0.36212624584717606,0.46284501061571126,0.122,0.384,250,13,0.052,0.956,0.4022740437327154,89,81,212,0.5235294117647059,0.2956810631229236,0.3779193205944798,0.162,0.424,250,13,0.052,0.956,0.4392099316443169,0.0074787139892578125,63.87313222885132,0.009916305541992188
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,decision_function_score_threshold,0.7,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,124.48033022880554,500,49500,1023,325,2.046,0.65,0.012525081634521484,2.5050163269042968e-05,180,145,121,0.5538461538461539,0.5980066445182725,0.5750798722044729,0.29,0.242,250,34,0.136,0.888,0.35960154942754124,158,167,143,0.48615384615384616,0.5249169435215947,0.5047923322683706,0.334,0.286,250,34,0.136,0.888,0.38924423878928127,118,207,183,0.3630769230769231,0.3920265780730897,0.3769968051118211,0.414,0.366,250,34,0.136,0.888,0.4360649971240558,0.012525081634521484,124.49285531044006,0.015528202056884766
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,decision_function_score_threshold,0.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,124.48033022880554,500,49500,808,277,1.616,0.554,0.008482933044433594,1.6965866088867187e-05,166,111,135,0.5992779783393501,0.5514950166112956,0.57439446366782,0.222,0.27,250,29,0.116,0.904,0.3671661010546334,149,128,152,0.5379061371841155,0.4950166112956811,0.5155709342560555,0.256,0.304,250,29,0.116,0.904,0.3926028003396203,110,167,191,0.3971119133574007,0.3654485049833887,0.38062283737024216,0.334,0.382,250,29,0.116,0.904,0.43968248155316725,0.008482933044433594,124.48881316184998,0.012955904006958008
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,decision_function_score_threshold,0.9,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,124.48033022880554,500,49500,643,234,1.286,0.468,0.008795738220214844,1.759147644042969e-05,152,82,149,0.6495726495726496,0.5049833887043189,0.5682242990654205,0.164,0.298,250,19,0.076,0.94,0.37005016766705906,135,99,166,0.5769230769230769,0.4485049833887043,0.5046728971962617,0.198,0.332,250,19,0.076,0.94,0.3981361107286726,100,134,201,0.42735042735042733,0.33222591362126247,0.37383177570093457,0.268,0.402,250,19,0.076,0.94,0.4465200891271437,0.008795738220214844,124.48912596702576,0.009813785552978516
phase1_threshold_sweep,dataset2_honeybee,rbf_svm,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm/d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,centered48_neg4x,48,hog16_hsv_lbp,decision_function_score_threshold,1.0,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,124.48033022880554,500,49500,518,212,1.036,0.424,0.008090019226074219,1.618003845214844e-05,143,69,158,0.6745283018867925,0.4750830564784053,0.5575048732943471,0.138,0.316,250,15,0.06,0.952,0.36320066008100543,125,87,176,0.589622641509434,0.4152823920265781,0.4873294346978557,0.174,0.352,250,15,0.06,0.952,0.3951691910127797,95,117,206,0.4481132075471698,0.31561461794019935,0.37037037037037035,0.234,0.412,250,15,0.06,0.952,0.43837804229573385,0.008090019226074219,124.48842024803162,0.011092901229858398
