phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,1.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,3437,887,6.874,1.774,0.0426805019378662,8.536100387573242e-05,243,644,65,0.2739571589627959,0.788961038961039,0.4066945606694561,1.288,0.13,250,377,1.508,0.364,0.4964129948491492,238,649,70,0.2683201803833145,0.7727272727272727,0.398326359832636,1.298,0.14,250,377,1.508,0.364,0.5043795362365454,231,656,77,0.2604284103720405,0.75,0.3866108786610879,1.312,0.154,250,377,1.508,0.364,0.5144778930221056,0.0426805019378662,653.9063124656677,0.047422170639038
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,1.6,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,2469,668,4.938,1.336,0.0338315963745117,6.766319274902344e-05,221,447,87,0.3308383233532934,0.7175324675324676,0.4528688524590164,0.894,0.174,250,262,1.048,0.428,0.498496406639495,219,449,89,0.3278443113772455,0.711038961038961,0.4487704918032787,0.898,0.178,250,262,1.048,0.428,0.5027883950275807,209,459,99,0.312874251497006,0.6785714285714286,0.4282786885245901,0.918,0.198,250,262,1.048,0.428,0.5172759240684394,0.0338315963745117,653.8974635601044,0.0338315963745117
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,1.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,1733,510,3.466,1.02,0.0398271083831787,7.965421676635742e-05,195,315,113,0.3823529411764705,0.6331168831168831,0.4767726161369193,0.63,0.226,250,184,0.736,0.548,0.4999219958531166,193,317,115,0.3784313725490196,0.6266233766233766,0.4718826405867971,0.634,0.23,250,184,0.736,0.548,0.5033713559883874,188,322,120,0.3686274509803922,0.6103896103896104,0.4596577017114914,0.644,0.24,250,184,0.736,0.548,0.5124316214067556,0.0398271083831787,653.903459072113,0.0437028408050537
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.0,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,1211,385,2.422,0.77,0.0258529186248779,5.170583724975586e-05,158,227,150,0.4103896103896104,0.512987012987013,0.455988455988456,0.454,0.3,250,130,0.52,0.64,0.5006719089699739,157,228,151,0.4077922077922078,0.5097402597402597,0.4531024531024531,0.456,0.302,250,130,0.52,0.64,0.5030032498054402,153,232,155,0.3974025974025974,0.4967532467532468,0.4415584415584416,0.464,0.31,250,130,0.52,0.64,0.5117764953117869,0.0258529186248779,653.8894848823547,0.0258529186248779
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.2,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,842,297,1.684,0.594,0.0277760028839111,5.555200576782227e-05,140,157,168,0.4713804713804714,0.4545454545454545,0.4628099173553718,0.314,0.336,250,98,0.392,0.704,0.5018419008289138,139,158,169,0.468013468013468,0.4512987012987013,0.4595041322314049,0.316,0.338,250,98,0.392,0.704,0.504280074855252,136,161,172,0.4579124579124579,0.4415584415584415,0.4495867768595041,0.322,0.344,250,98,0.392,0.704,0.5111838364407933,0.0277760028839111,653.8914079666138,0.0317814350128173
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,575,210,1.15,0.42,0.0217103958129882,4.342079162597656e-05,107,103,201,0.5095238095238095,0.3474025974025974,0.4131274131274131,0.206,0.402,250,71,0.284,0.776,0.5084416745018765,107,103,201,0.5095238095238095,0.3474025974025974,0.4131274131274131,0.206,0.402,250,71,0.284,0.776,0.5084416745018765,104,106,204,0.4952380952380952,0.3376623376623376,0.4015444015444015,0.212,0.408,250,71,0.284,0.776,0.515715482057916,0.0217103958129882,653.8853423595428,0.0244972705841064
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.6,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,363,137,0.726,0.274,0.0199549198150634,3.990983963012696e-05,82,55,226,0.5985401459854015,0.2662337662337662,0.3685393258426966,0.11,0.452,250,40,0.16,0.864,0.5076889217283558,82,55,226,0.5985401459854015,0.2662337662337662,0.3685393258426966,0.11,0.452,250,40,0.16,0.864,0.5076889217283558,78,59,230,0.5693430656934306,0.2532467532467532,0.3505617977528089,0.118,0.46,250,40,0.16,0.864,0.5214430634211483,0.0199549198150634,653.8835868835449,0.0229997634887695
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,2.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,242,101,0.484,0.202,0.0178782939910888,3.575658798217773e-05,65,36,243,0.6435643564356436,0.211038961038961,0.3178484107579462,0.072,0.486,250,25,0.1,0.912,0.4999150254793194,65,36,243,0.6435643564356436,0.211038961038961,0.3178484107579462,0.072,0.486,250,25,0.1,0.912,0.4999150254793194,63,38,245,0.6237623762376238,0.2045454545454545,0.3080684596577017,0.076,0.49,250,25,0.1,0.912,0.5092135387416419,0.0178782939910888,653.881510257721,0.0178782939910888
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,3.0,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,145,65,0.29,0.13,0.0193233489990234,3.864669799804688e-05,46,19,262,0.7076923076923077,0.1493506493506493,0.2466487935656836,0.038,0.524,250,13,0.052,0.956,0.4973415092525529,45,20,263,0.6923076923076923,0.1461038961038961,0.2412868632707774,0.04,0.526,250,13,0.052,0.956,0.5043809040781273,45,20,263,0.6923076923076923,0.1461038961038961,0.2412868632707774,0.04,0.526,250,13,0.052,0.956,0.5043809040781273,0.0193233489990234,653.8829553127289,0.0203330516815185
phase1_threshold_sweep,dataset1_varroa,linear_svm,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,score_threshold,1.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,673.3372113704681,500,420500,4000,1135,8.0,2.27,0.0485370159149169,9.7074031829834e-05,260,875,48,0.2290748898678414,0.8441558441558441,0.3603603603603604,1.75,0.096,250,490,1.96,0.276,0.4954055466366951,257,878,51,0.226431718061674,0.8344155844155844,0.3562023562023561,1.756,0.102,250,490,1.96,0.276,0.4999817806885595,249,886,59,0.2193832599118942,0.8084415584415584,0.3451143451143451,1.772,0.118,250,490,1.96,0.276,0.5106134782301508,0.0485370159149169,673.385748386383,0.0485370159149169
