rank_iou_0_3,phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
1,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,417,2.792,0.834,0.0244677066802978,4.89354133605957e-05,198,219,110,0.4748201438848921,0.6428571428571429,0.5462068965517242,0.438,0.22,250,126,0.504,0.668,0.5000420302352866,195,222,113,0.4676258992805755,0.6331168831168831,0.5379310344827586,0.444,0.226,250,126,0.504,0.668,0.5047974973785136,190,227,118,0.4556354916067146,0.6168831168831169,0.5241379310344828,0.454,0.236,250,126,0.504,0.668,0.5142529899691105,0.0244677066802978,797.0562114715576,0.0315024852752685
2,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,375,1.86,0.75,0.0198848247528076,3.976964950561524e-05,186,189,122,0.496,0.6038961038961039,0.5446559297218155,0.378,0.244,250,106,0.424,0.68,0.501110997902936,184,191,124,0.4906666666666666,0.5974025974025974,0.5387994143484627,0.382,0.248,250,106,0.424,0.68,0.5058652097805192,178,197,130,0.4746666666666667,0.577922077922078,0.5212298682284042,0.394,0.26,250,106,0.424,0.68,0.514149676818572,0.0198848247528076,1167.9746189117432,0.020888328552246
3,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,412,1.86,0.824,0.0208101272583007,4.1620254516601565e-05,195,217,113,0.4733009708737864,0.6331168831168831,0.5416666666666667,0.434,0.226,250,112,0.448,0.68,0.5037961630090598,192,220,116,0.4660194174757281,0.6233766233766234,0.5333333333333333,0.44,0.232,250,112,0.448,0.68,0.5103108019793158,187,225,121,0.4538834951456311,0.6071428571428571,0.5194444444444445,0.45,0.242,250,112,0.448,0.68,0.5169689209795896,0.0208101272583007,1167.9755442142489,0.0244405269622802
4,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,412,1.86,0.824,0.0228374004364013,4.567480087280274e-05,195,217,113,0.4733009708737864,0.6331168831168831,0.5416666666666667,0.434,0.226,250,112,0.448,0.68,0.5037961630090598,192,220,116,0.4660194174757281,0.6233766233766234,0.5333333333333333,0.44,0.232,250,112,0.448,0.68,0.5103108019793158,187,225,121,0.4538834951456311,0.6071428571428571,0.5194444444444445,0.45,0.242,250,112,0.448,0.68,0.5169689209795896,0.0228374004364013,1167.9775714874268,0.0256693363189697
5,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,417,2.792,0.834,0.027904987335205,5.580997467041016e-05,198,219,110,0.4748201438848921,0.6428571428571429,0.5462068965517242,0.438,0.22,250,126,0.504,0.668,0.440440712915378,195,222,113,0.4676258992805755,0.6331168831168831,0.5379310344827586,0.444,0.226,250,126,0.504,0.668,0.4445651068067603,187,230,121,0.448441247002398,0.6071428571428571,0.5158620689655172,0.46,0.242,250,126,0.504,0.668,0.4533067436500648,0.027904987335205,797.0596487522125,0.0310480594635009
6,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,375,1.86,0.75,0.0301704406738281,6.034088134765625e-05,186,189,122,0.496,0.6038961038961039,0.5446559297218155,0.378,0.244,250,106,0.424,0.68,0.43929565672026,184,191,124,0.4906666666666666,0.5974025974025974,0.5387994143484627,0.382,0.248,250,106,0.424,0.68,0.4422107054345996,174,201,134,0.464,0.564935064935065,0.5095168374816984,0.402,0.268,250,106,0.424,0.68,0.4538969578610011,0.0301704406738281,1167.9849045276642,0.0331690311431884
7,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,412,1.86,0.824,0.0249743461608886,4.9948692321777344e-05,195,217,113,0.4733009708737864,0.6331168831168831,0.5416666666666667,0.434,0.226,250,112,0.448,0.68,0.4389738754475558,193,219,115,0.4684466019417476,0.6266233766233766,0.5361111111111111,0.438,0.23,250,112,0.448,0.68,0.4417496547267945,180,232,128,0.4368932038834951,0.5844155844155844,0.5,0.464,0.256,250,112,0.448,0.68,0.4566125177259348,0.0249743461608886,1167.9797084331512,0.0281057357788085
8,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,centered80_neg4x,80,hog16_hsv_lbp,decision_function_score_threshold,1.2,4,0.3,1.25,weighted_center,OK,per_model_per_stride_in_memory,1167.9547340869904,500,420500,930,412,1.86,0.824,0.0254085063934326,5.0817012786865233e-05,195,217,113,0.4733009708737864,0.6331168831168831,0.5416666666666667,0.434,0.226,250,112,0.448,0.68,0.4389738754475558,193,219,115,0.4684466019417476,0.6266233766233766,0.5361111111111111,0.438,0.23,250,112,0.448,0.68,0.4417496547267945,180,232,128,0.4368932038834951,0.5844155844155844,0.5,0.464,0.256,250,112,0.448,0.68,0.4566125177259348,0.0254085063934326,1167.9801425933838,0.0337750911712646
9,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,501,2.792,1.002,0.0244293212890625,4.8858642578125e-05,205,296,103,0.4091816367265469,0.6655844155844156,0.5067985166872683,0.592,0.206,250,149,0.596,0.668,0.4999306788330055,204,297,104,0.4071856287425149,0.6623376623376623,0.5043263288009888,0.594,0.208,250,149,0.596,0.668,0.5030716805941164,199,302,109,0.3972055888223553,0.6461038961038961,0.491965389369592,0.604,0.218,250,149,0.596,0.668,0.5163462625617248,0.0244293212890625,797.0561730861664,0.0338599681854248
10,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,501,2.792,1.002,0.0304775238037109,6.095504760742187e-05,205,296,103,0.4091816367265469,0.6655844155844156,0.5067985166872683,0.592,0.206,250,149,0.596,0.668,0.4999306788330055,204,297,104,0.4071856287425149,0.6623376623376623,0.5043263288009888,0.594,0.208,250,149,0.596,0.668,0.5030716805941164,199,302,109,0.3972055888223553,0.6461038961038961,0.491965389369592,0.604,0.218,250,149,0.596,0.668,0.5163462625617248,0.0304775238037109,797.062221288681,0.0336155891418457
