rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
1,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.2,1.0,0.5454545454545454,0.246,0.5282392026578073,0.3842195540308748,0.34,0.3720930232558139,60
2,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.2,1.0,0.5387994143484627,0.382,0.5974025974025974,0.5212298682284042,0.394,0.577922077922078,2
3,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.2,1.25,0.5387994143484627,0.382,0.5974025974025974,0.5095168374816984,0.402,0.564935064935065,6
4,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.2,4,0.2,1.0,0.5379310344827586,0.444,0.6331168831168831,0.5241379310344828,0.454,0.6168831168831169,1
5,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.2,4,0.2,1.25,0.5379310344827586,0.444,0.6331168831168831,0.5158620689655172,0.46,0.6071428571428571,5
6,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.25,1.25,0.5361111111111111,0.438,0.6266233766233766,0.5,0.464,0.5844155844155844,7
7,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.3,1.25,0.5361111111111111,0.438,0.6266233766233766,0.5,0.464,0.5844155844155844,8
8,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.25,1.0,0.5333333333333333,0.44,0.6233766233766234,0.5194444444444445,0.45,0.6071428571428571,3
9,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.3,1.0,0.5333333333333333,0.44,0.6233766233766234,0.5194444444444445,0.45,0.6071428571428571,4
10,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.2,1.0,0.5293005671077504,0.176,0.4651162790697674,0.3969754253308128,0.246,0.3488372093023256,54
