dataset_name,algorithm_name,model_file_name,primary_metric,primary_metric_value,parameter_name,best_value,grid_values,is_lower_boundary,is_upper_boundary,boundary_note
dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,detection_f1_iou_0_2,0.5454545454545454,threshold_value,0.6,"[0.6, 0.7, 0.8, 0.85, 0.9, 0.95, 0.99]",True,False,lower_boundary_possible_lower_value_needed
dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,detection_f1_iou_0_2,0.5454545454545454,stride_divisor,4.0,[4],True,True,upper_boundary_possible_higher_value_needed
dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,detection_f1_iou_0_2,0.5454545454545454,cluster_iou_threshold,0.2,"[0.2, 0.25, 0.3]",True,False,lower_boundary_possible_lower_value_needed
dataset2_honeybee,random_forest,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,detection_f1_iou_0_2,0.5454545454545454,weighted_box_size_factor,1.0,"[1.0, 1.25]",True,False,lower_boundary_possible_lower_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,detection_f1_iou_0_2,0.5387994143484627,threshold_value,1.2,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5]",False,False,inside_grid
dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,detection_f1_iou_0_2,0.5387994143484627,stride_divisor,4.0,[4],True,True,upper_boundary_possible_higher_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,detection_f1_iou_0_2,0.5387994143484627,cluster_iou_threshold,0.2,"[0.2, 0.25, 0.3]",True,False,lower_boundary_possible_lower_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,detection_f1_iou_0_2,0.5387994143484627,weighted_box_size_factor,1.0,"[1.0, 1.25]",True,False,lower_boundary_possible_lower_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.5379310344827586,threshold_value,1.2,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5]",False,False,inside_grid
dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.5379310344827586,stride_divisor,4.0,[4],True,True,upper_boundary_possible_higher_value_needed
